ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
31816	"ENSG00000119139.12"	"TJP2"	chr9	+	71865950	71866280	71862927	71863140	71867730	71867816	31816	148,181	9,5	158,209	37,37	197	99	1.52140176568e-07	0.000237744382584	0.892,0.948	0.682,0.739	0.209
191	"ENSG00000010244.12"	"ZNF207"	chr17	+	30693683	30693732	30692348	30692506	30694790	30695033	191	104,99	1431,1428	106,138	719,919	147	99	1.73805511205e-07	0.000261900076027	0.047,0.045	0.09,0.092	-0.045
51400	"ENSG00000163125.11"	"RPRD2"	chr1	+	150414356	150414434	150413398	150413499	150415706	150415759	51400	29,25	1,2	22,15	18,17	176	99	2.17637281974e-07	0.000316639731071	0.942,0.875	0.407,0.332	0.539
10382	"ENSG00000266976.1"	"AC079466.1"	chr19	+	29101166	29101238	29097594	29098011	29103345	29106136	10382	312,263	19,19	570,499	98,102	170	99	3.44270335351e-07	0.000482663226329	0.905,0.89	0.772,0.74	0.141
11197	"ENSG00000076944.10"	"STXBP2"	chr19	+	7712239	7712397	7712047	7712133	7712610	7712759	11197	161,126	25,12	186,244	2,6	197	99	3.54630262045e-07	0.000482663226329	0.764,0.841	0.979,0.953	-0.163
18455	"ENSG00000149554.8"	"CHEK1"	chr11	+	125507343	125507439	125505323	125505428	125513686	125513802	18455	186,210	2,1	180,205	18,18	194	99	4.13441725744e-07	0.000545122915393	0.979,0.991	0.836,0.853	0.14
46612	"ENSG00000108064.6"	"TFAM"	chr10	+	60150524	60150620	60148429	60148579	60154117	60154174	46612	239,215	44,56	253,250	18,17	194	99	4.80260405888e-07	0.000614034758946	0.735,0.662	0.878,0.882	-0.181
11674	"ENSG00000088205.8"	"DDX18"	chr2	+	118580328	118580421	118579722	118579837	118582144	118582284	11674	26,19	89,68	9,6	142,115	191	99	5.26301527692e-07	0.00065206397202	0.132,0.127	0.032,0.026	0.101
29198	"ENSG00000134910.8"	"STT3A"	chr11	+	125463532	125463620	125462730	125462813	125465775	125465898	29198	24,25	65,56	9,11	105,114	186	99	5.4091389412e-07	0.00065206397202	0.164,0.192	0.044,0.049	0.132
26553	"ENSG00000138668.14"	"HNRNPD"	chr4	-	83292680	83292737	83280623	83280792	83294598	83295139	26553	1718,1154	197,149	1765,1796	418,377	155	99	5.86022476434e-07	0.000668255684478	0.848,0.832	0.73,0.753	0.098
46083	"ENSG00000136754.12"	"ABI1"	chr10	-	27044583	27044670	27040526	27040712	27054146	27054247	46083	27,12	83,73	29,39	27,46	185	99	5.71196537402e-07	0.000668255684478	0.148,0.081	0.365,0.312	-0.224
63427	"ENSG00000125952.14"	"MAX"	chr14	-	65544061	65544146	65543179	65543381	65544630	65544754	63427	20,33	318,279	48,42	185,173	183	99	6.82454235013e-07	0.000757739712728	0.033,0.06	0.123,0.116	-0.073
54160	"ENSG00000132424.10"	"PNISR"	chr6	-	99851704	99851758	99850415	99850586	99852478	99852578	54160	48,30	28,18	52,49	105,92	152	99	7.68793350203e-07	0.00083171612902	0.528,0.521	0.244,0.258	0.273
61988	"ENSG00000116747.8"	"TROVE2"	chr1	+	193038163	193038764	193028551	193028906	193044949	193045170	61988	41,33	31,30	65,81	10,19	197	99	8.36742844346e-07	0.000882596352216	0.399,0.356	0.766,0.682	-0.346
12718	"ENSG00000095787.17"	"WAC"	chr10	+	28900183	28900410	28899729	28899750	28900702	28900851	12718	16,17	597,615	37,46	430,567	197	99	1.00912659962e-06	0.00103846510954	0.013,0.014	0.041,0.039	-0.027
47276	"ENSG00000082898.12"	"XPO1"	chr2	-	61761692	61761813	61760906	61761038	61764696	61764775	47276	10,6	226,178	46,38	253,279	197	99	1.04484432095e-06	0.00104962075213	0.022,0.017	0.084,0.064	-0.055
33464	"ENSG00000169727.8"	"GPS1"	chr17	+	80010250	80010335	80009800	80009840	80011149	80011242	33464	31,38	98,97	12,15	131,138	183	99	1.30930503195e-06	0.00128470227693	0.146,0.175	0.047,0.056	0.109
49419	"ENSG00000156976.10"	"EIF4A2"	chr3	+	186506080	186506205	186505542	186505671	186506913	186507670	49419	54,31	330,229	39,65	767,880	197	99	1.84569232331e-06	0.00173052112234	0.076,0.064	0.025,0.036	0.04
53054	"ENSG00000265681.2"	"RPL17"	chr18	-	47018115	47018203	47017886	47017954	47018627	47018803	53054	19,12	48,22	63,101	42,59	186	99	1.80778257775e-06	0.00173052112234	0.174,0.225	0.444,0.477	-0.261
178	"ENSG00000010244.12"	"ZNF207"	chr17	+	30693683	30693776	30692348	30692506	30694790	30694962	178	1095,1325	1431,1428	984,1337	719,919	191	99	2.17255988311e-06	0.00195031162954	0.284,0.325	0.415,0.43	-0.118
187	"ENSG00000010244.12"	"ZNF207"	chr17	+	30693650	30693776	30692348	30692506	30694790	30695452	187	880,1080	1431,1428	796,1093	719,919	197	99	2.13153560502e-06	0.00195031162954	0.236,0.275	0.357,0.374	-0.11
63428	"ENSG00000125952.14"	"MAX"	chr14	-	65544045	65544146	65543175	65543381	65544630	65544754	63428	17,10	318,279	30,25	185,173	197	99	2.3770066685e-06	0.00208938886161	0.026,0.018	0.075,0.068	-0.05
39959	"ENSG00000103335.15"	"PIEZO1"	chr16	-	88783944	88784023	88783430	88783619	88785981	88786129	39959	111,107	207,185	60,74	253,263	177	99	2.85518359966e-06	0.00236230225151	0.231,0.244	0.117,0.136	0.111
59901	"ENSG00000114126.13"	"TFDP2"	chr3	-	141719093	141719196	141713861	141713983	141724282	141724386	59901	8,6	391,393	34,23	364,409	197	99	2.85545636203e-06	0.00236230225151	0.01,0.008	0.045,0.027	-0.027
61992	"ENSG00000116747.8"	"TROVE2"	chr1	+	193038163	193038311	193028748	193028906	193044949	193045020	61992	14,10	31,30	21,36	10,19	197	99	2.81711053551e-06	0.00236230225151	0.185,0.143	0.513,0.488	-0.336
44039	"ENSG00000113163.11"	"COL4A3BP"	chr5	-	74695134	74695212	74685416	74685512	74696029	74696122	44039	10,13	10,10	5,4	30,38	176	99	3.0236135381e-06	0.00245331350768	0.36,0.422	0.086,0.056	0.32
33618	"ENSG00000157216.11"	"SSBP3"	chr1	-	54723741	54723822	54722799	54722859	54747110	54747200	33618	81,43	102,92	32,19	107,139	179	99	3.17780342451e-06	0.00248292374235	0.305,0.205	0.142,0.07	0.149
46088	"ENSG00000136754.12"	"ABI1"	chr10	-	27048014	27048167	27040526	27040712	27054146	27054247	46088	71,38	83,73	77,83	27,46	197	99	3.12141095138e-06	0.00248292374235	0.301,0.207	0.589,0.476	-0.278
54159	"ENSG00000132424.10"	"PNISR"	chr6	-	99851704	99851857	99850415	99850586	99852478	99852578	54159	38,30	28,18	46,47	105,92	197	99	3.47468433848e-06	0.00266552512017	0.405,0.456	0.18,0.204	0.238
14596	"ENSG00000101246.15"	"ARFRP1"	chr20	-	62333181	62333252	62329995	62332054	62333487	62333569	14596	32,46	11,14	93,78	4,4	169	99	4.5935912717e-06	0.00326058927218	0.63,0.658	0.932,0.92	-0.282
24612	"ENSG00000130731.11"	"C16orf13"	chr16	-	684888	684935	684718	684797	685280	685340	24612	78,89	39,37	104,109	10,19	145	99	4.53773380715e-06	0.00326058927218	0.577,0.622	0.877,0.797	-0.238
33409	"ENSG00000196922.6"	"ZNF252P"	chr8	-	146221892	146221993	146219864	146219978	146224988	146225155	33409	20,22	1,0	4,11	7,10	197	99	4.44808319311e-06	0.00326058927218	0.91,1.0	0.223,0.356	0.666
47821	"ENSG00000130511.11"	"SSBP4"	chr19	+	18542162	18542228	18541650	18541740	18542456	18542516	47821	345,311	41,12	110,229	26,52	164	99	4.63678792972e-06	0.00326058927218	0.836,0.94	0.719,0.727	0.165
53053	"ENSG00000265681.2"	"RPL17"	chr18	-	47018115	47018203	47017886	47017954	47018644	47018769	53053	22,17	97,119	62,106	143,101	186	99	4.49596486651e-06	0.00326058927218	0.108,0.071	0.188,0.358	-0.184
61119	"ENSG00000168137.11"	"SETD5"	chr3	+	9510202	9510259	9506108	9506356	9512142	9512613	61119	40,41	66,62	36,40	175,146	155	99	5.02628154009e-06	0.00347653886458	0.279,0.297	0.116,0.149	0.156
33470	"ENSG00000169727.8"	"GPS1"	chr17	+	80010134	80010335	80009772	80009840	80011149	80011242	33470	27,27	98,97	10,10	131,138	197	99	5.22448707641e-06	0.00355534772142	0.122,0.123	0.037,0.035	0.086
28025	"ENSG00000143382.9"	"ADAMTSL4"	chr1	+	150529096	150529269	150528637	150528842	150529414	150529526	28025	590,641	21,17	841,981	7,6	197	99	6.35215445444e-06	0.0042541285832	0.934,0.95	0.984,0.988	-0.044
10547	"ENSG00000170906.11"	"NDUFA3"	chr19	+	54608903	54609010	54606421	54606496	54609240	54609318	10547	51,41	1124,783	24,28	1237,1434	197	99	6.72196791573e-06	0.00443145734845	0.022,0.026	0.01,0.01	0.014
18380	"ENSG00000197746.9"	"PSAP"	chr10	-	73578787	73578868	73578373	73578481	73579221	73579379	18380	778,743	14,11	1404,1369	0,3	179	99	7.10943280624e-06	0.00454486649941	0.968,0.974	1.0,0.996	-0.027
32574	"ENSG00000105063.14"	"PPP6R1"	chr19	-	55752606	55752759	55752312	55752447	55752844	55753007	32574	191,147	14,19	164,186	2,2	197	99	7.06965297681e-06	0.00454486649941	0.873,0.795	0.976,0.979	-0.143
33194	"ENSG00000231500.2"	"RPS18"	chr6	+	33243573	33243660	33240363	33240503	33243741	33243843	33194	11543,9605	1,3	27027,25488	419,0	185	99	7.98284597059e-06	0.00502704831629	1.0,0.999	0.972,1.0	0.014
27432	"ENSG00000239672.3"	"NME1"	chr17	+	49231585	49231805	49230938	49231023	49233011	49233141	27432	126,152	434,316	156,141	713,772	197	99	8.51804640634e-06	0.00528519726436	0.127,0.195	0.099,0.084	0.07
49790	"ENSG00000138293.15"	"NCOA4"	chr10	+	51580891	51580968	51580555	51580696	51581269	51581378	49790	453,386	14,12	778,891	4,6	175	99	8.79164496281e-06	0.00537589977204	0.948,0.948	0.991,0.988	-0.042
57711	"ENSG00000198930.8"	"CSAG1"	chrX	+	151908810	151908928	151904458	151904518	151909138	151909515	57711	104,97	26,14	152,176	10,4	197	99	1.07166849412e-05	0.00645940530056	0.668,0.777	0.884,0.957	-0.198
11275	"ENSG00000126561.12"	"STAT5A"	chr17	+	40461064	40461116	40460195	40460351	40462524	40463961	11275	874,766	70,59	579,704	102,97	150	99	1.1555351989e-05	0.00673515549581	0.892,0.895	0.789,0.827	0.085
33465	"ENSG00000169727.8"	"GPS1"	chr17	+	80010131	80010335	80009772	80009840	80011149	80011242	33465	28,27	98,97	12,10	131,138	197	99	1.13669613948e-05	0.00673515549581	0.126,0.123	0.044,0.035	0.085
48058	"ENSG00000135916.11"	"ITM2C"	chr2	+	231738131	231738272	231729664	231729860	231740334	231740523	48058	26,35	7,8	55,55	0,0	197	99	1.16530705156e-05	0.00673515549581	0.651,0.687	1.0,1.0	-0.331
45133	"ENSG00000111445.9"	"RFC5"	chr12	+	118455494	118455620	118454505	118454697	118456876	118456941	45133	40,23	561,420	77,78	491,589	197	99	1.18525925343e-05	0.00675789978658	0.035,0.027	0.073,0.062	-0.037
11274	"ENSG00000126561.12"	"STAT5A"	chr17	+	40461064	40461128	40460195	40460351	40462524	40463958	11274	873,767	70,59	579,708	102,97	162	99	1.25801768645e-05	0.00707710429689	0.884,0.888	0.776,0.817	0.09
14599	"ENSG00000101246.15"	"ARFRP1"	chr20	-	62333181	62333250	62330864	62332054	62333487	62337405	14599	15,19	11,14	46,32	4,4	167	99	1.41110803821e-05	0.00777765757389	0.447,0.446	0.872,0.826	-0.402
22248	"ENSG00000088833.13"	"NSFL1C"	chr20	-	1426639	1426794	1426310	1426475	1433137	1433275	22248	23,16	315,236	62,55	322,324	197	99	1.41941513365e-05	0.00777765757389	0.035,0.033	0.088,0.079	-0.049
1368	"ENSG00000116731.18"	"PRDM2"	chr1	+	14104912	14109326	14099572	14099683	14113009	14114574	1368	64,55	6,3	65,82	23,32	197	99	1.55996917802e-05	0.0084382332768	0.843,0.902	0.587,0.563	0.298
3531	"ENSG00000147050.10"	"KDM6A"	chrX	+	44921891	44921993	44920568	44920664	44922666	44923062	3531	51,45	7,6	49,44	29,26	197	99	1.75741053098e-05	0.009382914517	0.785,0.79	0.459,0.46	0.328
50142	"ENSG00000101040.15"	"ZMYND8"	chr20	-	45841286	45841370	45839084	45839542	45848908	45848975	50142	291,216	104,52	242,277	176,152	182	99	1.7809418053e-05	0.009382914517	0.603,0.693	0.428,0.498	0.185
57708	"ENSG00000198930.8"	"CSAG1"	chrX	+	151908770	151908928	151904458	151904518	151909138	151909518	57708	146,137	26,14	197,223	10,4	197	99	1.80132744567e-05	0.009382914517	0.738,0.831	0.908,0.966	-0.153
24629	"ENSG00000130731.11"	"C16orf13"	chr16	-	684888	684923	684718	684797	685280	685340	24629	72,82	39,37	89,95	10,19	133	99	1.87117157333e-05	0.00962786231975	0.579,0.623	0.869,0.788	-0.228
33254	"ENSG00000183010.12"	"PYCR1"	chr17	-	79892201	79892365	79891182	79891252	79892801	79893023	33254	354,312	19,18	254,382	0,6	197	99	1.95125445386e-05	0.00991895517075	0.904,0.897	1.0,0.97	-0.084
30999	"ENSG00000110717.6"	"NDUFS8"	chr11	+	67799618	67799676	67798083	67798200	67800389	67800479	30999	132,83	4,2	83,100	11,22	156	99	2.13225603418e-05	0.0107100174517	0.954,0.963	0.827,0.743	0.173
53117	"ENSG00000117616.13"	"C1orf63"	chr1	-	25570944	25570989	25570040	25570124	25571640	25571792	53117	18,15	25,14	18,15	83,73	143	99	2.1610749564e-05	0.0107270675953	0.333,0.426	0.131,0.125	0.252
6049	"ENSG00000122515.10"	"ZMIZ2"	chr7	+	44805565	44805655	44804933	44805178	44805762	44805932	6049	49,42	23,16	63,102	4,13	188	99	2.27026881851e-05	0.0111380444175	0.529,0.58	0.892,0.805	-0.294
20144	"ENSG00000100038.15"	"TOP3B"	chr22	-	22336810	22336846	22330011	22330179	22337126	22337163	20144	54,25	113,104	36,37	297,248	134	99	2.49963143625e-05	0.0121223505239	0.261,0.151	0.082,0.099	0.116
61116	"ENSG00000168137.11"	"SETD5"	chr3	+	9510202	9510299	9506108	9506356	9512142	9512613	61116	31,25	66,62	27,24	175,146	195	99	2.58831394373e-05	0.0124097888538	0.193,0.17	0.073,0.077	0.106
247	"ENSG00000061273.13"	"HDAC7"	chr12	-	48189688	48189799	48189369	48189550	48189989	48190081	247	10,8	88,44	18,22	26,47	197	99	2.69895006986e-05	0.0126526779275	0.054,0.084	0.258,0.19	-0.155
59656	"ENSG00000128595.12"	"CALU"	chr7	+	128388626	128388858	128379416	128379486	128398924	128399091	59656	192,166	6,3	339,333	26,54	197	99	2.67606721088e-05	0.0126526779275	0.941,0.965	0.868,0.756	0.141
37829	"ENSG00000075292.14"	"ZNF638"	chr2	+	71575556	71577401	71558893	71558995	71582848	71582910	37829	42,35	5,4	31,26	17,21	197	99	2.76237588376e-05	0.0126684960095	0.808,0.815	0.478,0.384	0.381
41014	"ENSG00000184489.7"	"PTP4A3"	chr8	+	142437849	142437924	142437038	142437169	142441026	142441620	41014	329,260	21,26	351,388	7,10	173	99	2.74063119988e-05	0.0126684960095	0.9,0.851	0.966,0.957	-0.086
49789	"ENSG00000138293.15"	"NCOA4"	chr10	+	51580879	51580968	51580555	51580696	51581269	51581378	49789	831,708	14,12	1362,1502	4,6	187	99	3.15991117517e-05	0.0143358034734	0.969,0.969	0.994,0.993	-0.025
42407	"ENSG00000168754.9"	"FAM178B"	chr2	-	97544152	97544230	97543626	97543779	97559662	97559788	42407	234,173	13,8	1183,1594	18,25	176	99	3.55209064924e-05	0.0159435966673	0.91,0.924	0.974,0.973	-0.056
11808	"ENSG00000108639.3"	"SYNGR2"	chr17	+	76167590	76167685	76166897	76167135	76167819	76169608	11808	212,184	120,90	238,200	40,59	193	99	3.61709539307e-05	0.0160644725078	0.475,0.512	0.753,0.635	-0.2
57790	"ENSG00000104164.6"	"BLOC1S6"	chr15	+	45884332	45884474	45879320	45879723	45890077	45891760	57790	32,37	8,10	64,62	1,2	197	99	3.88349054881e-05	0.017067940962	0.668,0.65	0.97,0.94	-0.296
55271	"ENSG00000106462.6"	"EZH2"	chr7	-	148516069	148516151	148513775	148515209	148516687	148516779	55271	69,52	896,789	68,94	574,588	180	99	4.05971334567e-05	0.017473347345	0.041,0.035	0.061,0.081	-0.033
64475	"ENSG00000130177.10"	"CDC16"	chr13	+	115002119	115002174	115000535	115000607	115002273	115002371	64475	219,169	16,10	144,170	23,39	153	99	4.09997484632e-05	0.017473347345	0.899,0.916	0.802,0.738	0.137
9595	"ENSG00000110075.10"	"PPP6R3"	chr11	+	68350510	68350597	68343425	68343511	68355394	68355492	9595	44,55	2,1	56,43	13,20	185	99	4.0856171174e-05	0.017473347345	0.922,0.967	0.697,0.535	0.329
22250	"ENSG00000088833.13"	"NSFL1C"	chr20	-	1426685	1426794	1426310	1426475	1433137	1433275	22250	22,11	315,236	50,49	322,324	197	99	4.24663135636e-05	0.017608777421	0.034,0.023	0.072,0.071	-0.043
27585	"ENSG00000105127.4"	"AKAP8"	chr19	-	15479877	15480035	15479045	15479133	15480956	15480990	27585	11,10	104,74	36,19	60,68	197	99	4.25695699882e-05	0.017608777421	0.05,0.064	0.232,0.123	-0.12
56690	"ENSG00000175449.9"	"RFESD"	chr5	+	94988820	94988918	94987840	94988035	94989764	94989940	56690	106,82	27,18	102,95	53,70	196	99	4.25377087179e-05	0.017608777421	0.665,0.697	0.493,0.407	0.231
22990	"ENSG00000023191.12"	"RNH1"	chr11	-	504823	504996	502061	502249	507112	507218	22990	127,134	429,317	228,280	360,469	197	99	4.56856877964e-05	0.0178566362021	0.13,0.175	0.241,0.231	-0.083
33255	"ENSG00000183010.12"	"PYCR1"	chr17	-	79892404	79892621	79890259	79891252	79892801	79893023	33255	110,65	19,18	86,93	0,6	197	99	4.5171338297e-05	0.0178566362021	0.744,0.645	1.0,0.886	-0.249
34408	"ENSG00000152795.13"	"HNRNPDL"	chr4	-	83346715	83346820	83345781	83346036	83347189	83347282	34408	52,44	239,151	133,155	318,266	197	99	4.61313364153e-05	0.0178566362021	0.099,0.128	0.174,0.227	-0.087
45706	"ENSG00000161091.8"	"MFSD12"	chr19	-	3546252	3546423	3546071	3546166	3547269	3547362	45706	54,36	8,10	82,87	3,0	197	99	4.47439637766e-05	0.0178566362021	0.772,0.644	0.932,1.0	-0.258
61996	"ENSG00000116747.8"	"TROVE2"	chr1	+	193029003	193029352	193028788	193028906	193044949	193045170	61996	2,1	31,30	13,8	10,19	197	99	4.60479130444e-05	0.0178566362021	0.031,0.016	0.395,0.175	-0.262
63370	"ENSG00000185480.7"	"PARPBP"	chr12	+	102560886	102561025	102559506	102559661	102589728	102591298	63370	0,0	5,9	7,5	1,1	197	99	4.43741305278e-05	0.0178566362021	0.0,0.0	0.779,0.715	-0.747
65035	"ENSG00000138778.7"	"CENPE"	chr4	-	104084635	104084710	104084293	104084413	104095892	104096060	65035	17,13	7,7	8,5	23,17	173	99	4.44214751892e-05	0.0178566362021	0.582,0.515	0.166,0.144	0.393
55254	"ENSG00000106462.6"	"EZH2"	chr7	-	148516069	148516137	148513775	148515209	148516687	148516779	55254	37,28	896,789	42,56	574,588	166	99	4.90228717549e-05	0.0188033909553	0.024,0.021	0.042,0.054	-0.026
33472	"ENSG00000169727.8"	"GPS1"	chr17	+	80010253	80010335	80009772	80009840	80011149	80011242	33472	22,23	98,97	9,9	131,138	180	99	5.04730958328e-05	0.0191852329674	0.11,0.115	0.036,0.035	0.077
1020	"ENSG00000079819.12"	"EPB41L2"	chr6	-	131179275	131179383	131160491	131161738	131184777	131184858	1020	43,33	5,7	66,84	0,0	197	99	5.65134567955e-05	0.02128942651	0.812,0.703	1.0,1.0	-0.242
46574	"ENSG00000185359.8"	"HGS"	chr17	+	79668273	79668452	79668038	79668161	79668537	79669149	46574	7,1	100,103	20,12	67,94	197	99	5.76984279084e-05	0.0213544918448	0.034,0.005	0.13,0.06	-0.075
64113	"ENSG00000125991.14"	"ERGIC3"	chr20	+	34131409	34131553	34130570	34130690	34135162	34135222	64113	18,2	100,88	7,1	201,213	197	99	5.74488229808e-05	0.0213544918448	0.083,0.011	0.017,0.002	0.037
11260	"ENSG00000126561.12"	"STAT5A"	chr17	+	40461064	40461101	40460195	40460351	40462524	40463958	11260	241,176	70,59	145,180	102,97	135	99	6.02928624932e-05	0.0221206648201	0.716,0.686	0.51,0.576	0.158
38073	"ENSG00000007392.12"	"LUC7L"	chr16	-	258599	258663	258076	258187	270647	270746	38073	26,23	46,28	91,93	46,55	162	99	6.14825947803e-05	0.0223627037842	0.257,0.334	0.547,0.508	-0.232
5063	"ENSG00000137575.7"	"SDCBP"	chr8	+	59472842	59474354	59465812	59465862	59477577	59477643	5063	2,15	100,87	3,0	168,158	197	99	6.3633960979e-05	0.0228289739368	0.01,0.08	0.009,0.0	0.041
79	"ENSG00000115760.9"	"BIRC6"	chr2	+	32826752	32826856	32824805	32824967	32828072	32828150	79	6,9	14,14	1,2	40,27	197	99	6.38466753067e-05	0.0228289739368	0.177,0.244	0.012,0.036	0.186
