Feature	Cell Line	RBP	Position	Avg. |SHAP|
DDX3X_5	HepG2	DDX3X	5	1.2013146649371642
DDX3X_5	K562	DDX3X	5	1.7307191582850066
DDX3X_6	HepG2	DDX3X	6	0.6443455676279307
DDX3X_6	K562	DDX3X	6	1.3653550811907873
DDX42_1	K562	DDX42	1	0.0
DDX42_2	K562	DDX42	2	0.0
DDX42_3	K562	DDX42	3	0.0
DDX42_4	K562	DDX42	4	0.022029851543872308
DDX42_5	K562	DDX42	5	0.031962642487007795
DDX42_6	K562	DDX42	6	0.0
DDX43_1	K562	DDX43	1	0.1076817959024883
DDX43_2	K562	DDX43	2	0.09003133805214841
DDX43_3	K562	DDX43	3	0.7573349701525229
DDX43_4	K562	DDX43	4	0.7839560887295983
DDX43_5	K562	DDX43	5	0.06986262310088744
DDX43_6	K562	DDX43	6	0.13202885613789792
DDX47_1	K562	DDX47	1	0.0
DDX47_2	K562	DDX47	2	0.08810177762220558
DDX47_3	K562	DDX47	3	0.14787812903523445
DDX47_4	K562	DDX47	4	0.0
DDX47_5	K562	DDX47	5	0.0
DDX47_6	K562	DDX47	6	
DDX51_1	K562	DDX51	1	0.0893883240071072
DDX51_2	K562	DDX51	2	0.008575603811810393
DDX51_3	K562	DDX51	3	0.0
DDX51_4	K562	DDX51	4	0.011638826744263453
DDX51_5	K562	DDX51	5	0.0
DDX51_6	K562	DDX51	6	0.0
DDX52_1	HepG2	DDX52	1	0.0
DDX52_1	K562	DDX52	1	0.006014638078768793
DDX52_2	HepG2	DDX52	2	0.0
DDX52_2	K562	DDX52	2	0.00795725918639401
DDX52_3	HepG2	DDX52	3	0.0
DDX52_3	K562	DDX52	3	0.014780404636295172
DDX52_4	HepG2	DDX52	4	0.0
DDX52_4	K562	DDX52	4	0.00011082397174041384
DDX52_5	HepG2	DDX52	5	0.0
DDX52_5	K562	DDX52	5	0.0016938055491440343
DDX52_6	HepG2	DDX52	6	0.0
DDX52_6	K562	DDX52	6	0.001627207266281248
DDX55_1	HepG2	DDX55	1	0.41224489609400433
DDX55_1	K562	DDX55	1	0.006588409506631168
DDX55_2	HepG2	DDX55	2	0.5646834690650508
DDX55_2	K562	DDX55	2	0.06165783263080175
DDX55_3	HepG2	DDX55	3	0.0
DDX55_3	K562	DDX55	3	0.0024058627482560126
DDX55_4	HepG2	DDX55	4	0.0
DDX55_4	K562	DDX55	4	0.18664570692988527
DDX55_5	HepG2	DDX55	5	0.23607705042140031
DDX55_5	K562	DDX55	5	0.028765420526921385
DDX55_6	HepG2	DDX55	6	0.007864025254888654
DDX55_6	K562	DDX55	6	0.03465190395017934
DDX59_1	HepG2	DDX59	1	0.0323174678672008
DDX59_2	HepG2	DDX59	2	0.0021850879494321627
DDX59_3	HepG2	DDX59	3	0.09613692766064327
DDX59_4	HepG2	DDX59	4	0.003127069849657643
DDX59_5	HepG2	DDX59	5	0.0
DDX59_6	HepG2	DDX59	6	0.08681063707275637
DDX6_1	HepG2	DDX6	1	0.0
DDX6_1	K562	DDX6	1	0.02420640050500989
DDX6_2	HepG2	DDX6	2	0.0
DDX6_2	K562	DDX6	2	0.006049944527047533
DDX6_3	HepG2	DDX6	3	0.5017086684703826
DDX6_3	K562	DDX6	3	0.00029569994011914867
DDX6_4	HepG2	DDX6	4	0.0
DDX6_4	K562	DDX6	4	0.023613762351022756
DDX6_5	HepG2	DDX6	5	0.0
DDX6_5	K562	DDX6	5	0.020033711452045067
DDX6_6	HepG2	DDX6	6	0.0
DDX6_6	K562	DDX6	6	0.04571136818711968
DGCR8_1	HepG2	DGCR8	1	0.5563788697164805
DGCR8_1	K562	DGCR8	1	0.013914257098576141
DGCR8_2	HepG2	DGCR8	2	0.06629100111837419
DGCR8_2	K562	DGCR8	2	0.0007251887927804819
DGCR8_3	HepG2	DGCR8	3	0.6345993252659616
DGCR8_3	K562	DGCR8	3	0.09001805446762312
DGCR8_4	HepG2	DGCR8	4	0.006761405742659384
DGCR8_4	K562	DGCR8	4	0.06657343747930264
DGCR8_5	HepG2	DGCR8	5	0.0
DGCR8_5	K562	DGCR8	5	0.000988945169720247
DGCR8_6	HepG2	DGCR8	6	0.0
DGCR8_6	K562	DGCR8	6	0.12693079014819475
DHX30_1	HepG2	DHX30	1	0.0
DHX30_1	K562	DHX30	1	0.0024696061083618976
DHX30_2	HepG2	DHX30	2	0.0
DHX30_2	K562	DHX30	2	0.008076712146144426
DHX30_3	HepG2	DHX30	3	
DHX30_3	K562	DHX30	3	0.19924467217562528
DHX30_4	HepG2	DHX30	4	
DHX30_4	K562	DHX30	4	0.0025879671797849283
DHX30_5	HepG2	DHX30	5	
DHX30_5	K562	DHX30	5	0.05936940429772405
DHX30_6	HepG2	DHX30	6	0.0
DHX30_6	K562	DHX30	6	0.0050407343779473495
DKC1_1	HepG2	DKC1	1	0.0
DKC1_2	HepG2	DKC1	2	0.0
DKC1_3	HepG2	DKC1	3	0.0034317066762643766
DKC1_4	HepG2	DKC1	4	0.06466959098863423
DKC1_5	HepG2	DKC1	5	0.035976099147906
DKC1_6	HepG2	DKC1	6	0.0
DROSHA_1	HepG2	DROSHA	1	0.10775908396246867
DROSHA_1	K562	DROSHA	1	0.003944812042030503
DROSHA_2	HepG2	DROSHA	2	0.0
DROSHA_2	K562	DROSHA	2	0.02969777427772159
DROSHA_3	HepG2	DROSHA	3	0.023345707105331064
DROSHA_3	K562	DROSHA	3	0.01972651058969685
DROSHA_4	HepG2	DROSHA	4	0.003550574495225841
DROSHA_4	K562	DROSHA	4	0.047068358291214085
DROSHA_5	HepG2	DROSHA	5	0.004672626547456365
DROSHA_5	K562	DROSHA	5	0.3258356719898092
DROSHA_6	HepG2	DROSHA	6	0.0
DROSHA_6	K562	DROSHA	6	0.007650716959826665
EEF2_1	K562	EEF2	1	0.0
EEF2_2	K562	EEF2	2	0.0
EEF2_3	K562	EEF2	3	0.0
EEF2_4	K562	EEF2	4	0.0
EEF2_5	K562	EEF2	5	0.0
EEF2_6	K562	EEF2	6	0.0
EFTUD2_1	HepG2	EFTUD2	1	0.005750072721856176
EFTUD2_1	K562	EFTUD2	1	0.031223339823734087
EFTUD2_2	HepG2	EFTUD2	2	0.15997675255182459
EFTUD2_2	K562	EFTUD2	2	0.11535316913073414
EFTUD2_3	HepG2	EFTUD2	3	0.05703832140709647
EFTUD2_3	K562	EFTUD2	3	0.05864262821005101
EFTUD2_4	HepG2	EFTUD2	4	0.28791700829102707
EFTUD2_4	K562	EFTUD2	4	0.6234084983841822
EFTUD2_5	HepG2	EFTUD2	5	0.0744063296988883
EFTUD2_5	K562	EFTUD2	5	0.4471780644715693
EFTUD2_6	HepG2	EFTUD2	6	0.02339559659293316
EFTUD2_6	K562	EFTUD2	6	0.02220118817767138
EIF3D_1	HepG2	EIF3D	1	0.0
EIF3D_2	HepG2	EIF3D	2	0.0
EIF3D_3	HepG2	EIF3D	3	0.0
EIF3D_4	HepG2	EIF3D	4	0.0
EIF3D_5	HepG2	EIF3D	5	0.6652326793737815
EIF3D_6	HepG2	EIF3D	6	0.26711345725301383
EIF3G_1	K562	EIF3G	1	0.007672953905420783
EIF3G_2	K562	EIF3G	2	0.008852487903371536
EIF3G_3	K562	EIF3G	3	0.01046767981833045
EIF3G_4	K562	EIF3G	4	0.004415207221871242
EIF3G_5	K562	EIF3G	5	0.00019871434504837627
EIF3G_6	K562	EIF3G	6	0.0
EIF3H_1	HepG2	EIF3H	1	0.0
EIF3H_2	HepG2	EIF3H	2	0.036019325026696795
EIF3H_3	HepG2	EIF3H	3	0.05737294942292871
EIF3H_4	HepG2	EIF3H	4	0.13888097903890992
EIF3H_5	HepG2	EIF3H	5	0.0035566084522890597
EIF3H_6	HepG2	EIF3H	6	0.04666225196407938
EIF4E_1	K562	EIF4E	1	0.189876641351452
EIF4E_2	K562	EIF4E	2	0.01514346675684421
EIF4E_3	K562	EIF4E	3	0.011448475131990888
EIF4E_4	K562	EIF4E	4	0.07577347998752944
EIF4E_5	K562	EIF4E	5	0.2676944943616189
EIF4E_6	K562	EIF4E	6	0.12826593548700374
EIF4G2_1	K562	EIF4G2	1	0.00021112301244353258
EIF4G2_2	K562	EIF4G2	2	0.0023184875234331164
EIF4G2_3	K562	EIF4G2	3	0.005741084969704618
EIF4G2_4	K562	EIF4G2	4	0.000696851719568806
EIF4G2_5	K562	EIF4G2	5	0.09963540887732185
EIF4G2_6	K562	EIF4G2	6	0.0007352930336813291
ELAC2_1	K562	ELAC2	1	0.030689428921846642
ELAC2_2	K562	ELAC2	2	0.20239010609110794
ELAC2_3	K562	ELAC2	3	0.014083334355714452
ELAC2_4	K562	ELAC2	4	0.09090407351280409
ELAC2_5	K562	ELAC2	5	0.003932008980336983
ELAC2_6	K562	ELAC2	6	0.018032029460330574
ELAVL1_1	K562	ELAVL1	1	0.006724043943885046
ELAVL1_2	K562	ELAVL1	2	0.0006489079126485895
ELAVL1_3	K562	ELAVL1	3	0.8768898907982176
ELAVL1_4	K562	ELAVL1	4	0.0035830705229263986
ELAVL1_5	K562	ELAVL1	5	0.31481849982349175
ELAVL1_6	K562	ELAVL1	6	0.05744199195288586
EWSR1_1	K562	EWSR1	1	0.013646311099270675
EWSR1_2	K562	EWSR1	2	0.021534602882560417
EWSR1_3	K562	EWSR1	3	0.08397970572556322
EWSR1_4	K562	EWSR1	4	0.00847729057412156
EWSR1_5	K562	EWSR1	5	0.05040588238881279
EWSR1_6	K562	EWSR1	6	0.0053614455854724425
EXOSC10_1	K562	EXOSC10	1	0.010843264445833346
EXOSC10_2	K562	EXOSC10	2	0.014472863723516385
EXOSC10_3	K562	EXOSC10	3	0.015189613090650015
EXOSC10_4	K562	EXOSC10	4	0.30683862961972297
EXOSC10_5	K562	EXOSC10	5	0.011337727137445814
EXOSC10_6	K562	EXOSC10	6	0.11685134057506852
EXOSC5_1	HepG2	EXOSC5	1	0.0
EXOSC5_1	K562	EXOSC5	1	0.0
EXOSC5_2	HepG2	EXOSC5	2	0.0
EXOSC5_2	K562	EXOSC5	2	0.3523573089504506
EXOSC5_3	HepG2	EXOSC5	3	0.0
EXOSC5_3	K562	EXOSC5	3	0.35792707080642383
EXOSC5_4	HepG2	EXOSC5	4	0.0
EXOSC5_4	K562	EXOSC5	4	0.7399787139269262
EXOSC5_5	HepG2	EXOSC5	5	0.0
EXOSC5_5	K562	EXOSC5	5	0.078711898624897
EXOSC5_6	HepG2	EXOSC5	6	0.0
EXOSC5_6	K562	EXOSC5	6	0.0
FAM120A_1	HepG2	FAM120A	1	0.004848459626404935
FAM120A_1	K562	FAM120A	1	0.008012659738557876
FAM120A_2	HepG2	FAM120A	2	0.06056203727747773
FAM120A_2	K562	FAM120A	2	0.09572368465737607
FAM120A_3	HepG2	FAM120A	3	0.0037663059794748755
FAM120A_3	K562	FAM120A	3	0.25556642472355684
FAM120A_4	HepG2	FAM120A	4	0.0031824310450733998
FAM120A_4	K562	FAM120A	4	0.0
FAM120A_5	HepG2	FAM120A	5	0.05077710647536701
FAM120A_5	K562	FAM120A	5	0.320329876718196
FAM120A_6	HepG2	FAM120A	6	0.0
FAM120A_6	K562	FAM120A	6	0.031088653941481116
FASTKD2_1	HepG2	FASTKD2	1	0.0
FASTKD2_1	K562	FASTKD2	1	0.21070153973365235
FASTKD2_2	HepG2	FASTKD2	2	0.019286989201323167
FASTKD2_2	K562	FASTKD2	2	0.00744763475403296
FASTKD2_3	HepG2	FASTKD2	3	0.0
FASTKD2_3	K562	FASTKD2	3	0.0
FASTKD2_4	HepG2	FASTKD2	4	0.0
FASTKD2_4	K562	FASTKD2	4	0.031730575209524506
FASTKD2_5	HepG2	FASTKD2	5	0.0
FASTKD2_5	K562	FASTKD2	5	0.002543512297744082
FASTKD2_6	HepG2	FASTKD2	6	0.0
FASTKD2_6	K562	FASTKD2	6	0.0
FKBP4_1	HepG2	FKBP4	1	0.0
FKBP4_2	HepG2	FKBP4	2	0.11918060544978928
FKBP4_3	HepG2	FKBP4	3	0.4211916064222654
FKBP4_4	HepG2	FKBP4	4	0.0
FKBP4_5	HepG2	FKBP4	5	0.0
FKBP4_6	HepG2	FKBP4	6	0.0
FMR1_1	K562	FMR1	1	0.05328454987998933
FMR1_2	K562	FMR1	2	0.0038811768974894387
FMR1_3	K562	FMR1	3	0.8738250350241539
FMR1_4	K562	FMR1	4	0.5162689041832219
FMR1_5	K562	FMR1	5	0.11071673687181699
FMR1_6	K562	FMR1	6	0.009091542708042553
FTO_1	HepG2	FTO	1	0.04202384740848168
FTO_1	K562	FTO	1	0.10915382068323239
FTO_2	HepG2	FTO	2	0.0
FTO_2	K562	FTO	2	0.0021114740234006
FTO_3	HepG2	FTO	3	0.0
FTO_3	K562	FTO	3	0.02519072521796548
FTO_4	HepG2	FTO	4	0.0
FTO_4	K562	FTO	4	0.043117817664774606
FTO_5	HepG2	FTO	5	0.0
FTO_5	K562	FTO	5	0.38327113558717124
FTO_6	HepG2	FTO	6	0.0
FTO_6	K562	FTO	6	0.22228200855802316
FUBP3_1	HepG2	FUBP3	1	0.0
FUBP3_2	HepG2	FUBP3	2	0.0
FUBP3_3	HepG2	FUBP3	3	0.0
FUBP3_4	HepG2	FUBP3	4	0.0
FUBP3_5	HepG2	FUBP3	5	0.0
FUBP3_6	HepG2	FUBP3	6	0.14139919632203352
FUS_1	HepG2	FUS	1	0.0
FUS_1	K562	FUS	1	0.0030152368220257085
FUS_2	HepG2	FUS	2	0.0
FUS_2	K562	FUS	2	0.03236116780016663
FUS_3	HepG2	FUS	3	0.0
FUS_3	K562	FUS	3	0.01920008972981938
FUS_4	HepG2	FUS	4	0.14971465370871803
FUS_4	K562	FUS	4	0.022249850522016727
FUS_5	HepG2	FUS	5	0.3210249294023045
FUS_5	K562	FUS	5	0.07548665735400609
FUS_6	HepG2	FUS	6	0.08773036004192587
FUS_6	K562	FUS	6	0.04173480953008662
FXR1_1	K562	FXR1	1	0.022522686307938907
FXR1_2	K562	FXR1	2	0.005089610797351475
FXR1_3	K562	FXR1	3	0.9246432183647839
FXR1_4	K562	FXR1	4	1.2414154757758578
FXR1_5	K562	FXR1	5	0.08336816646025261
FXR1_6	K562	FXR1	6	0.030873902383423142
FXR2_1	HepG2	FXR2	1	0.018007343211856732
FXR2_1	K562	FXR2	1	0.005708066754085686
FXR2_2	HepG2	FXR2	2	0.023139259010443246
FXR2_2	K562	FXR2	2	0.03201446701056632
FXR2_3	HepG2	FXR2	3	0.4908521256855459
FXR2_3	K562	FXR2	3	0.18610698999750272
FXR2_4	HepG2	FXR2	4	0.593787085151292
FXR2_4	K562	FXR2	4	0.3490275946709118
FXR2_5	HepG2	FXR2	5	0.0075590287451456385
FXR2_5	K562	FXR2	5	0.018737135500700726
FXR2_6	HepG2	FXR2	6	0.005292885086257038
FXR2_6	K562	FXR2	6	0.05697285771226594
G3BP1_1	HepG2	G3BP1	1	0.006539342141415362
G3BP1_2	HepG2	G3BP1	2	0.0231148637846403
G3BP1_3	HepG2	G3BP1	3	1.554102104471703
G3BP1_4	HepG2	G3BP1	4	1.372571260118601
G3BP1_5	HepG2	G3BP1	5	0.09550038731825822
G3BP1_6	HepG2	G3BP1	6	0.0715400590503764
GARS_1	K562	GARS	1	0.016352438991172957
GARS_2	K562	GARS	2	0.012684714902059739
GARS_3	K562	GARS	3	0.0
GARS_4	K562	GARS	4	0.0
GARS_5	K562	GARS	5	0.0
GARS_6	K562	GARS	6	0.0
GEMIN5_1	K562	GEMIN5	1	0.015695602383291502
GEMIN5_2	K562	GEMIN5	2	0.025109462696357453
GEMIN5_3	K562	GEMIN5	3	0.03540897831088254
GEMIN5_4	K562	GEMIN5	4	0.01819725239093421
GEMIN5_5	K562	GEMIN5	5	0.34704744102795737
GEMIN5_6	K562	GEMIN5	6	0.03308360025484385
GNL3_1	K562	GNL3	1	
GNL3_2	K562	GNL3	2	
GNL3_3	K562	GNL3	3	0.0
GNL3_4	K562	GNL3	4	
GNL3_5	K562	GNL3	5	0.0
GNL3_6	K562	GNL3	6	0.0
GPKOW_1	K562	GPKOW	1	0.04124231699540923
GPKOW_2	K562	GPKOW	2	0.3467357138862143
GPKOW_3	K562	GPKOW	3	0.07724756554938375
GPKOW_4	K562	GPKOW	4	0.4451057816442014
GPKOW_5	K562	GPKOW	5	0.021843682333006896
GPKOW_6	K562	GPKOW	6	0.1271722997221317
GRSF1_1	HepG2	GRSF1	1	0.07260137840681914
GRSF1_2	HepG2	GRSF1	2	0.0
GRSF1_3	HepG2	GRSF1	3	0.0
GRSF1_4	HepG2	GRSF1	4	0.0
GRSF1_5	HepG2	GRSF1	5	0.0
GRSF1_6	HepG2	GRSF1	6	0.017430607894517853
GRWD1_1	HepG2	GRWD1	1	0.10637216277538343
GRWD1_1	K562	GRWD1	1	0.02537157052585211
GRWD1_2	HepG2	GRWD1	2	0.0878845686342583
GRWD1_2	K562	GRWD1	2	0.012137019852578507
GRWD1_3	HepG2	GRWD1	3	1.1111948765265554
GRWD1_3	K562	GRWD1	3	0.7068062504318483
GRWD1_4	HepG2	GRWD1	4	1.015877846009214
GRWD1_4	K562	GRWD1	4	0.642092523686918
GRWD1_5	HepG2	GRWD1	5	0.275320393067823
GRWD1_5	K562	GRWD1	5	0.0321180034837882
GRWD1_6	HepG2	GRWD1	6	0.22117812908507986
GRWD1_6	K562	GRWD1	6	0.2618911728033281
GTF2F1_1	HepG2	GTF2F1	1	0.09226205413285483
GTF2F1_1	K562	GTF2F1	1	0.008508240008267576
GTF2F1_2	HepG2	GTF2F1	2	0.03507621928328374
GTF2F1_2	K562	GTF2F1	2	0.016895901088630576
GTF2F1_3	HepG2	GTF2F1	3	0.044140258561021516
GTF2F1_3	K562	GTF2F1	3	0.02538938326498099
GTF2F1_4	HepG2	GTF2F1	4	0.09451395151808575
GTF2F1_4	K562	GTF2F1	4	0.09270720385520921
GTF2F1_5	HepG2	GTF2F1	5	0.02054481781851386
GTF2F1_5	K562	GTF2F1	5	0.008562772788381478
GTF2F1_6	HepG2	GTF2F1	6	0.0
GTF2F1_6	K562	GTF2F1	6	0.014939060807100626
HLTF_1	HepG2	HLTF	1	0.07487615213740147
HLTF_1	K562	HLTF	1	0.30630759235288274
HLTF_2	HepG2	HLTF	2	0.6256391272961515
HLTF_2	K562	HLTF	2	0.11945884598090369
HLTF_3	HepG2	HLTF	3	0.0
HLTF_3	K562	HLTF	3	0.0
HLTF_4	HepG2	HLTF	4	0.1076863109896895
HLTF_4	K562	HLTF	4	0.0
HLTF_5	HepG2	HLTF	5	0.0
HLTF_5	K562	HLTF	5	0.13279507081184921
HLTF_6	HepG2	HLTF	6	0.24203701192049482
HLTF_6	K562	HLTF	6	0.0
HNRNPA1_1	HepG2	HNRNPA1	1	
HNRNPA1_1	K562	HNRNPA1	1	0.0
HNRNPA1_2	HepG2	HNRNPA1	2	0.0
HNRNPA1_2	K562	HNRNPA1	2	0.0
HNRNPA1_3	HepG2	HNRNPA1	3	
HNRNPA1_3	K562	HNRNPA1	3	0.0
HNRNPA1_4	HepG2	HNRNPA1	4	
HNRNPA1_4	K562	HNRNPA1	4	0.0
HNRNPA1_5	HepG2	HNRNPA1	5	0.0
