ID,GeneID,geneSymbol,chr,strand,exonStart_0base,exonEnd,upstreamES,upstreamEE,downstreamES,downstreamEE,ID_duplicated_0,IJC_SAMPLE_1,SJC_SAMPLE_1,IJC_SAMPLE_2,SJC_SAMPLE_2,IncFormLen,SkipFormLen,PValue,FDR,IncLevel1,IncLevel2,IncLevelDifference
122,ENSG00000147403.16,RPL10,chrX,+,154399337,154399396,154398371,154398542,154399486,154399594,122,"7727,6295","0,0","15067,14575","2,0",158,99,1.0,1.0,"1.0,1.0","1.0,1.0",0.0
123,ENSG00000147403.16,RPL10,chrX,+,154399486,154399594,154399337,154399396,154399802,154399941,123,"8295,7349","23,6","16038,15514","19,28",198,99,1.0,1.0,"0.994,0.998","0.998,0.996",-0.001
124,ENSG00000147403.16,RPL10,chrX,+,154400463,154400626,154399802,154399941,154400701,154400811,124,"5644,5585","123,136","8768,10557","210,301",198,99,0.301543476316,1.0,"0.958,0.954","0.954,0.946",0.006
125,ENSG00000147403.16,RPL10,chrX,+,154400463,154400626,154399802,154399941,154403262,154403497,125,"3300,2984","0,0","5234,6055","2,2",198,99,1.0,1.0,"1.0,1.0","0.999,0.999",0.001
126,ENSG00000196924.15,FLNA,chrX,-,154351580,154351696,154350908,154351041,154351883,154351950,126,"640,695","0,0","1205,1086","0,1",198,99,1.0,1.0,"1.0,1.0","1.0,0.998",0.001
127,ENSG00000196924.15,FLNA,chrX,-,154352552,154352675,154352180,154352447,154352771,154352783,127,"732,666","11,11","1288,1363","14,13",198,99,0.197289030806,1.0,"0.971,0.968","0.979,0.981",-0.01
128,ENSG00000196924.15,FLNA,chrX,-,154353553,154353727,154353295,154353457,154353914,154354043,128,"769,610","2,3","1251,1291","2,3",198,99,1.0,1.0,"0.995,0.99","0.997,0.995",-0.004
129,ENSG00000196924.15,FLNA,chrX,-,154354615,154354711,154354380,154354483,154354824,154354889,129,"566,405","7,1","653,884","2,3",195,99,0.835349449242,1.0,"0.976,0.995","0.994,0.993",-0.008
130,ENSG00000196924.15,FLNA,chrX,-,154357250,154357274,154354824,154355072,154357433,154357623,130,"382,269","108,90","471,563","187,209",123,99,0.10545662375,0.6914089622589512,"0.74,0.706","0.67,0.684",0.046
131,ENSG00000196924.15,FLNA,chrX,-,154366023,154366224,154365348,154365486,154366307,154366470,131,"183,127","5,13","319,377","5,7",198,99,0.00248106474019,0.0663958889105846,"0.948,0.83","0.97,0.964",-0.078
133,ENSG00000169057.21,MECP2,chrX,-,154039791,154039903,154032434,154032557,154048181,154048279,133,"3,0","0,0","5,5","0,2",198,99,1.0,1.0,"1.0,NA","1.0,0.556",0.222
134,ENSG00000169057.21,MECP2,chrX,-,154039791,154039903,154032434,154032557,154048516,154049479,134,"3,0","0,0","5,4","2,0",198,99,1.0,1.0,"1.0,NA","0.556,1.0",0.222
135,ENSG00000169057.21,MECP2,chrX,-,154039791,154039903,154032434,154032557,154092183,154092307,135,"3,0","42,43","5,5","55,63",198,99,0.0652033503227,0.5185023126240477,"0.034,0.0","0.043,0.038",-0.023
138,ENSG00000169057.21,MECP2,chrX,-,154056940,154057254,154032206,154032557,154057742,154057842,138,"2,4","1,1","4,3","0,0",198,99,0.526924019905,1.0,"0.5,0.667","1.0,1.0",-0.416
139,ENSG00000169057.21,MECP2,chrX,-,154057742,154057842,154032206,154032557,154058398,154060358,139,"3,2","0,0","5,2","0,1",198,99,1.0,1.0,"1.0,1.0","1.0,0.5",0.25
140,ENSG00000169057.21,MECP2,chrX,-,154058398,154058566,154032206,154032557,154092183,154092307,140,"0,0","42,43","0,2","55,63",198,99,1.0,1.0,"0.0,0.0","0.0,0.016",-0.008
141,ENSG00000169057.21,MECP2,chrX,-,154092183,154092307,154032206,154032557,154096812,154096978,141,"44,43","0,3","60,66","3,0",198,99,0.900097529131,1.0,"1.0,0.878","0.909,1.0",-0.015
142,ENSG00000169057.21,MECP2,chrX,-,154092183,154092307,154032206,154032557,154097603,154097663,142,"104,101","27,10","153,182","40,61",198,99,0.0549937404963,0.4683268975585926,"0.658,0.835","0.657,0.599",0.118
143,ENSG00000184216.13,IRAK1,chrX,-,154012528,154012678,154010499,154011917,154013042,154013343,143,"862,674","1,1","810,1002","2,4",198,99,1.0,1.0,"0.998,0.997","0.995,0.992",0.004
144,ENSG00000184216.13,IRAK1,chrX,-,154012528,154012678,154010499,154011917,154014041,154014278,144,"241,224","0,0","337,437","0,2",198,99,1.0,1.0,"1.0,1.0","1.0,0.991",0.004
145,ENSG00000184216.13,IRAK1,chrX,-,154013042,154013343,154012528,154012678,154014041,154014278,145,"629,455","1,0","479,577","1,7",198,99,0.818851989835,1.0,"0.997,1.0","0.996,0.976",0.012
146,ENSG00000184216.13,IRAK1,chrX,-,154013042,154013433,154011730,154011917,154014041,154014246,146,"159,125","0,0","116,140","0,2",198,99,1.0,1.0,"1.0,1.0","1.0,0.972",0.014
147,ENSG00000184216.13,IRAK1,chrX,-,154013042,154013433,154012528,154012678,154014041,154014246,147,"780,574","1,0","588,708","1,7",198,99,0.828543903642,1.0,"0.997,1.0","0.997,0.981",0.009
148,ENSG00000184216.13,IRAK1,chrX,-,154014041,154014278,154013042,154013343,154016031,154016073,148,"194,173","1,0","289,263","1,0",198,99,1.0,1.0,"0.99,1.0","0.993,1.0",-0.001
149,ENSG00000184216.13,IRAK1,chrX,-,154014041,154014278,154013042,154013433,154016031,154016073,149,"345,292","0,0","398,394","2,2",198,99,1.0,1.0,"1.0,1.0","0.99,0.99",0.01
150,ENSG00000184216.13,IRAK1,chrX,-,154016031,154016097,154014041,154014278,154016436,154016644,150,"374,327","0,0","530,523","2,1",165,99,1.0,1.0,"1.0,1.0","0.994,0.997",0.004
152,ENSG00000184216.13,IRAK1,chrX,-,154018974,154019078,154018598,154018787,154019196,154019328,152,"1639,1079","0,2","1419,1976","0,0",198,99,1.0,1.0,"1.0,0.996","1.0,1.0",-0.002
153,ENSG00000172534.13,HCFC1,chrX,-,153956190,153956411,153954065,153955542,153956624,153956763,153,"490,360","0,1","272,430","0,0",198,99,1.0,1.0,"1.0,0.994","1.0,1.0",-0.003
154,ENSG00000172534.13,HCFC1,chrX,-,153956624,153956763,153956190,153956411,153956917,153957060,154,"289,243","1,0","172,256","0,0",198,99,1.0,1.0,"0.993,1.0","1.0,1.0",-0.004
155,ENSG00000172534.13,HCFC1,chrX,-,153958568,153958766,153958024,153958249,153959330,153959491,155,"434,397","6,1","320,442","2,0",198,99,0.886006411891,1.0,"0.973,0.995","0.988,1.0",-0.01
156,ENSG00000172534.13,HCFC1,chrX,-,153961541,153961648,153960234,153960414,153962221,153962306,156,"282,258","4,3","243,298","0,0",198,99,0.253362684192,1.0,"0.972,0.977","1.0,1.0",-0.026
157,ENSG00000102032.12,RENBP,chrX,-,153936003,153936105,153935488,153935576,153940101,153940215,157,"0,0","0,6","1,2","7,6",198,99,1.0,1.0,"NA,0.0","0.067,0.143",-0.105
158,ENSG00000102032.12,RENBP,chrX,-,153937091,153937188,153936003,153936105,153940101,153940233,158,"0,1","0,0","0,0","1,1",196,99,1.0,1.0,"NA,1.0","0.0,0.0",1.0
159,ENSG00000102032.12,RENBP,chrX,-,153941949,153942031,153941477,153941653,153942854,153943079,159,"18,16","0,3","26,23","0,0",181,99,0.155463189147,0.8758647653913418,"1.0,0.745","1.0,1.0",-0.127
162,ENSG00000089820.15,ARHGAP4,chrX,-,153909442,153909535,153909069,153909169,153909740,153909924,162,"36,37","0,0","67,83","2,0",192,99,0.479634088084,1.0,"1.0,1.0","0.945,1.0",0.028
163,ENSG00000089820.15,ARHGAP4,chrX,-,153910170,153910404,153910011,153910085,153910505,153910611,163,"36,39","0,0","61,81","0,1",198,99,1.0,1.0,"1.0,1.0","1.0,0.976",0.012
167,ENSG00000089820.15,ARHGAP4,chrX,-,153911128,153911189,153910921,153910999,153912699,153912737,167,"37,19","0,0","60,61","1,0",160,99,1.0,1.0,"1.0,1.0","0.974,1.0",0.013
168,ENSG00000089820.15,ARHGAP4,chrX,-,153913023,153913051,153912699,153912802,153913408,153913600,168,"9,3","0,0","9,7","1,0",127,99,1.0,1.0,"1.0,1.0","0.875,1.0",0.062
169,ENSG00000089820.15,ARHGAP4,chrX,-,153913217,153913302,153913023,153913051,153913408,153913600,169,"62,53","0,0","113,105","0,1",184,99,1.0,1.0,"1.0,1.0","1.0,0.983",0.008
170,ENSG00000089820.15,ARHGAP4,chrX,-,153913777,153913879,153913209,153913600,153918831,153919053,170,"70,61","1,0","198,186","1,0",198,99,1.0,1.0,"0.972,1.0","0.99,1.0",-0.009
171,ENSG00000089820.15,ARHGAP4,chrX,-,153913777,153913879,153913408,153913516,153918831,153919053,171,"40,31","1,0","116,88","0,0",198,99,1.0,1.0,"0.952,1.0","1.0,1.0",-0.024
173,ENSG00000089820.15,ARHGAP4,chrX,-,153919566,153919686,153919154,153919283,153920625,153920808,173,"2,0","10,7","2,0","13,16",198,99,0.838755756939,1.0,"0.091,0.0","0.071,0.0",0.01
177,ENSG00000089820.15,ARHGAP4,chrX,-,153933942,153934001,153932538,153932584,153934376,153934475,177,"426,331","3,1","565,644","2,0",158,99,1.0,1.0,"0.989,0.995","0.994,1.0",-0.005
180,ENSG00000198753.11,PLXNB3,chrX,+,153773517,153773713,153773229,153773406,153773858,153774098,180,"2,0","1,0","1,0","0,0",198,99,1.0,1.0,"0.5,NA","1.0,NA",-0.5
181,ENSG00000198753.11,PLXNB3,chrX,+,153777947,153778095,153777527,153777688,153778260,153778325,181,"1,6","0,0","6,2","2,0",198,99,0.58413366994,1.0,"1.0,1.0","0.6,1.0",0.2
182,ENSG00000185825.16,BCAP31,chrX,-,153704820,153705101,153703958,153704094,153715541,153715689,182,"1,0","246,178","3,0","323,309",198,99,1.0,1.0,"0.002,0.0","0.005,0.0",-0.002
183,ENSG00000185825.16,BCAP31,chrX,-,153723507,153723612,153723152,153723288,153724333,153724435,183,"10,9","265,256","11,15","381,349",198,99,0.946348169499,1.0,"0.019,0.017","0.014,0.021",0.001
185,ENSG00000262919.7,CCNQ,chrX,-,153592505,153592733,153587918,153588454,153594546,153594679,185,"49,37","1,2","58,63","0,1",198,99,0.390247709179,1.0,"0.961,0.902","1.0,0.969",-0.053
186,ENSG00000262919.7,CCNQ,chrX,-,153592505,153592733,153587931,153588394,153594546,153594679,186,"42,21","3,1","42,31","0,0",198,99,0.0248733916182,0.2815782938500068,"0.875,0.913","1.0,1.0",-0.106
190,ENSG00000262919.7,CCNQ,chrX,-,153597421,153597706,153596003,153596187,153598961,153599116,190,"2,2","29,23","0,2","15,27",198,99,0.297993565274,1.0,"0.033,0.042","0.0,0.036",0.02
192,ENSG00000147383.10,NSDHL,chrX,+,152831633,152831700,152830966,152831117,152846281,152846432,192,"45,52","264,250","61,69","387,464",166,99,0.250111528482,1.0,"0.092,0.11","0.086,0.081",0.018
193,ENSG00000213401.9,MAGEA12,chrX,+,152735147,152735253,152733778,152733859,152736086,152737106,193,"46,44","2,4","51,38","4,2",198,99,0.901607689568,1.0,"0.92,0.846","0.864,0.905",-0.002
194,ENSG00000213401.9,MAGEA12,chrX,+,152735147,152735253,152733861,152734034,152736086,152737106,194,"46,43","4,0","51,38","1,0",198,99,0.0704143551309,0.5445400457527211,"0.852,1.0","0.962,1.0",-0.055
195,ENSG00000183305.13,MAGEA2B,chrX,+,152714846,152714928,152714629,152714682,152715078,152715157,195,"1,0","1,1","0,0","1,1",181,99,1.0,1.0,"0.354,0.0","0.0,0.0",0.177
196,ENSG00000183305.13,MAGEA2B,chrX,+,152714846,152715157,152714646,152714682,152715956,152716076,196,"0,4","0,0","0,2","0,1",198,99,1.0,1.0,"NA,1.0","NA,0.5",0.5
197,ENSG00000183305.13,MAGEA2B,chrX,+,152715078,152715157,152714627,152714682,152715956,152716076,197,"1,3","0,0","1,3","0,1",178,99,1.0,1.0,"1.0,1.0","1.0,0.625",0.188
200,ENSG00000268902.3,CSAG2,chrX,-,152709460,152709575,152708834,152709007,152713255,152713315,200,"5,2","0,0","1,6","1,0",198,99,1.0,1.0,"1.0,1.0","0.333,1.0",0.334
201,ENSG00000011677.12,GABRA3,chrX,-,152189729,152189941,152166233,152168563,152197632,152197785,201,"9,18","2,3","19,19","3,0",198,99,0.185020835542,0.9690855756898858,"0.692,0.75","0.76,1.0",-0.159
205,ENSG00000147381.11,MAGEA4,chrX,+,151912801,151912969,151912508,151912542,151923452,151923524,205,"1,0","0,0","0,2","1,2",198,99,1.0,1.0,"1.0,NA","0.0,0.333",0.834
208,ENSG00000102181.20,CD99L2,chrX,-,150816278,150816455,150816006,150816078,150831230,150831293,208,"0,2","46,49","2,3","53,73",198,99,0.693051521131,1.0,"0.0,0.02","0.019,0.02",-0.009
209,ENSG00000102181.20,CD99L2,chrX,-,150828305,150829604,150816006,150816078,150831230,150831293,209,"2,2","46,49","1,0","53,73",198,99,0.53467751769,1.0,"0.021,0.02","0.009,0.0",0.016
210,ENSG00000102181.20,CD99L2,chrX,-,150831230,150831293,150816278,150816455,150898521,150898609,210,"25,29","1,0","39,42","0,0",162,99,1.0,1.0,"0.939,1.0","1.0,1.0",-0.03
212,ENSG00000063601.16,MTMR1,chrX,+,150712341,150712365,150699194,150699300,150718624,150718700,212,"3,4","31,23","3,6","20,22",123,99,0.354582649699,1.0,"0.072,0.123","0.108,0.18",-0.046
220,ENSG00000063601.16,MTMR1,chrX,+,150718624,150718700,150699194,150699300,150727214,150727309,220,"57,62","3,1","38,50","0,0",175,99,0.216100263584,1.0,"0.915,0.972","1.0,1.0",-0.056
221,ENSG00000063601.16,MTMR1,chrX,+,150736594,150736780,150732541,150732730,150737241,150737448,221,"48,46","1,3","94,74","0,3",198,99,0.29261527295,1.0,"0.96,0.885","1.0,0.925",-0.04
222,ENSG00000063601.16,MTMR1,chrX,+,150750729,150750843,150744360,150744453,150755688,150755865,222,"27,37","0,0","55,53","0,4",198,99,0.121034556564,0.7546870230404167,"1.0,1.0","1.0,0.869",0.066
223,ENSG00000063601.16,MTMR1,chrX,+,150751029,150751240,150750729,150750843,150755688,150755865,223,"1,1","14,24","8,8","27,22",198,99,0.000411622751922,0.02136029723587118,"0.034,0.02","0.129,0.154",-0.115
224,ENSG00000063601.16,MTMR1,chrX,+,150755688,150755865,150750729,150750843,150762564,150762737,224,"23,40","0,0","41,38","1,0",198,99,1.0,1.0,"1.0,1.0","0.953,1.0",0.024
227,ENSG00000197021.8,CXorf40B,chrX,-,149934376,149934568,149934004,149934137,149937432,149937480,227,"2,1","105,68","2,6","117,128",198,99,0.85152855311,1.0,"0.009,0.007","0.008,0.023",-0.007
228,ENSG00000197021.8,CXorf40B,chrX,-,149934376,149934573,149934004,149934137,149937432,149937480,228,"2,2","105,68","3,4","117,128",198,99,0.715141451406,1.0,"0.009,0.014","0.013,0.015",-0.002
229,ENSG00000197021.8,CXorf40B,chrX,-,149937413,149937480,149934004,149934137,149938192,149938459,229,"51,49","0,1","30,39","0,2",166,99,0.559691745492,1.0,"1.0,0.967","1.0,0.921",0.023
230,ENSG00000197021.8,CXorf40B,chrX,-,149937432,149937480,149934004,149934137,149938192,149938435,230,"112,76","0,1","120,130","0,2",147,99,1.0,1.0,"1.0,0.981","1.0,0.978",0.001
233,ENSG00000269556.7,TMEM185A,chrX,-,149608626,149608834,149603708,149604070,149611286,149611463,233,"5,8","0,2","12,25","0,0",198,99,0.65681694137,1.0,"1.0,0.667","1.0,1.0",-0.166
234,ENSG00000269556.7,TMEM185A,chrX,-,149611286,149611463,149608626,149608834,149631542,149631698,234,"4,15","7,0","9,8","0,0",198,99,0.00216641170949,0.06098945845633958,"0.222,1.0","1.0,1.0",-0.389
235,ENSG00000267978.5,MAGEA9B,chrX,-,149583546,149583633,149583319,149583388,149587393,149587452,235,"0,1","13,7","3,3","7,13",186,99,1.0,1.0,"0.0,0.071","0.186,0.109",-0.112
236,ENSG00000241489.7,AC244197.3,chrX,-,149486924,149487098,149482542,149483218,149490313,149490440,236,"40,25","0,1","53,65","10,2",198,99,1.0,1.0,"1.0,0.926","0.726,0.942",0.129
237,ENSG00000241489.7,AC244197.3,chrX,-,149498106,149498307,149496345,149496516,149500948,149501037,237,"67,55","0,0","112,163","1,1",198,99,1.0,1.0,"1.0,1.0","0.982,0.988",0.015
238,ENSG00000241489.7,AC244197.3,chrX,-,149526935,149527068,149500948,149501037,149529366,149529428,238,"1,0","2,0","2,2","0,0",198,99,1.0,1.0,"0.2,NA","1.0,1.0",-0.8
239,ENSG00000010404.17,IDS,chrX,-,149491537,149491667,149490313,149490440,149496345,149496516,239,"1,0","21,17","2,2","18,29",198,99,0.308368425516,1.0,"0.023,0.0","0.053,0.033",-0.032
240,ENSG00000010404.17,IDS,chrX,-,149499228,149499354,149498106,149498307,149500948,149501037,240,"2,0","31,21","0,0","56,90",198,99,1.0,1.0,"0.031,0.0","0.0,0.0",0.015
241,ENSG00000010404.17,IDS,chrX,-,149502074,149502177,149500948,149501037,149503311,149503489,241,"1,0","22,13","4,2","46,44",198,99,0.145016079378,0.8421581021561901,"0.022,0.0","0.042,0.022",-0.021
242,ENSG00000010404.17,IDS,chrX,-,149503311,149503489,149500948,149501037,149504156,149504219,242,"65,76","1,0","125,109","1,1",198,99,1.0,1.0,"0.97,1.0","0.984,0.982",0.002
243,ENSG00000176988.8,FMR1NB,chrX,+,148008617,148008711,148006701,148006842,148024864,148025013,243,"6,16","1,1","8,15","2,0",193,99,0.424524489896,1.0,"0.755,0.891","0.672,1.0",-0.013
247,ENSG00000101977.20,MCF2,chrX,-,139613215,139613263,139610300,139610338,139614880,139614950,247,"1,0","0,0","0,0","0,2",147,99,1.0,1.0,"1.0,NA","NA,0.0",1.0
250,ENSG00000129682.15,FGF13,chrX,-,138857511,138857679,138708817,138708928,138985017,138985091,250,"64,81","0,0","91,76","2,1",198,99,0.446855405268,1.0,"1.0,1.0","0.958,0.974",0.034
251,ENSG00000129682.15,FGF13,chrX,-,138857511,138857679,138708817,138708928,138990507,138990617,251,"257,408","1,2","395,368","5,2",198,99,0.725480251082,1.0,"0.992,0.99","0.975,0.989",0.009
252,ENSG00000129682.15,FGF13,chrX,-,138857511,138857679,138708817,138708928,139204058,139204271,252,"84,88","2,4","112,102","6,5",198,99,0.341163117674,1.0,"0.955,0.917","0.903,0.911",0.029
253,ENSG00000129682.15,FGF13,chrX,-,138864576,138864650,138857511,138857679,138990507,138990617,253,"2,3","197,340","0,1","312,293",173,99,1.0,1.0,"0.006,0.005","0.0,0.002",0.004
254,ENSG00000129682.15,FGF13,chrX,-,138864576,138864650,138857511,138857679,139203415,139203525,254,"0,2","0,0","0,1","1,0",173,99,1.0,1.0,"NA,1.0","0.0,1.0",0.5
255,ENSG00000129682.15,FGF13,chrX,-,138985017,138985091,138708817,138708928,138990507,138990567,255,"2,7","1,2","4,2","5,2",173,99,0.0798447632394,0.5858719284467309,"0.534,0.667","0.314,0.364",0.262
