File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Donor(s)	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	Azure URL	File analysis title	File analysis status	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF340WIB	bam	bam		alignments	GRCh38	ENCSR970FEW	eCLIP	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										DDX52-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1	1_1		41					/files/ENCFF479WLK/, /files/ENCFF939HML/	351158609	Gene Yeo, UCSD	491ff6e60b35e42740399dfe58f4a1e4		https://www.encodeproject.org/files/ENCFF340WIB/@@download/ENCFF340WIB.bam				released	s3://encode-public/2018/04/29/6a23a852-d1ca-4abe-9fcc-311ba779be22/ENCFF340WIB.bam	https://datasetencode.blob.core.windows.net/dataset/2018/04/29/6a23a852-d1ca-4abe-9fcc-311ba779be22/ENCFF340WIB.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom GRCh38	released			
ENCFF618EON	bam	bam		alignments	GRCh38	ENCSR970FEW	eCLIP	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										DDX52-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	2	2_1		41					/files/ENCFF560TLH/, /files/ENCFF522NFJ/	375830548	Gene Yeo, UCSD	d5b89ddd48f24b486c85be56d301f95d		https://www.encodeproject.org/files/ENCFF618EON/@@download/ENCFF618EON.bam				released	s3://encode-public/2018/04/29/b3bb6850-15df-4fb7-982a-f3491c835d03/ENCFF618EON.bam	https://datasetencode.blob.core.windows.net/dataset/2018/04/29/b3bb6850-15df-4fb7-982a-f3491c835d03/ENCFF618EON.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom GRCh38	released			
ENCFF376EDQ	bam	bam		alignments	hg19	ENCSR876EYA	eCLIP	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										BCLAF1-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1	1_1		41					/files/ENCFF463HOI/, /files/ENCFF695FAB/	485596352	Gene Yeo, UCSD	8a25fa9642b99560affc739eb9d0bd52		https://www.encodeproject.org/files/ENCFF376EDQ/@@download/ENCFF376EDQ.bam				released	s3://encode-public/2018/04/29/c8a5be28-c7c9-4b50-98f3-9d65f53dea60/ENCFF376EDQ.bam	https://datasetencode.blob.core.windows.net/dataset/2018/04/29/c8a5be28-c7c9-4b50-98f3-9d65f53dea60/ENCFF376EDQ.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom hg19	archived			
ENCFF139XGO	bam	bam		alignments	hg19	ENCSR876EYA	eCLIP	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										BCLAF1-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	2	2_1		41					/files/ENCFF033JHH/, /files/ENCFF490SCE/	738960066	Gene Yeo, UCSD	f6d19b149f5ed1bd81de68065c33fd74		https://www.encodeproject.org/files/ENCFF139XGO/@@download/ENCFF139XGO.bam				released	s3://encode-public/2018/04/29/456a94ce-14ee-4156-a416-58a63e1b05ee/ENCFF139XGO.bam	https://datasetencode.blob.core.windows.net/dataset/2018/04/29/456a94ce-14ee-4156-a416-58a63e1b05ee/ENCFF139XGO.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom hg19	archived			
ENCFF510PFS	bam	bam		alignments	GRCh38	ENCSR876EYA	eCLIP	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										BCLAF1-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1	1_1		41					/files/ENCFF463HOI/, /files/ENCFF695FAB/	472616637	Gene Yeo, UCSD	d4f7cfe7ebc7767203eab883cf572a88		https://www.encodeproject.org/files/ENCFF510PFS/@@download/ENCFF510PFS.bam				released	s3://encode-public/2018/04/29/660ea5a3-09da-44ec-a686-d8d66abc38c5/ENCFF510PFS.bam	https://datasetencode.blob.core.windows.net/dataset/2018/04/29/660ea5a3-09da-44ec-a686-d8d66abc38c5/ENCFF510PFS.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom GRCh38	released			
ENCFF673LOJ	bam	bam		alignments	GRCh38	ENCSR876EYA	eCLIP	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										BCLAF1-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	2	2_1		41					/files/ENCFF033JHH/, /files/ENCFF490SCE/	709611825	Gene Yeo, UCSD	e2d7f9eb1d58325e4da0257dd0f70371		https://www.encodeproject.org/files/ENCFF673LOJ/@@download/ENCFF673LOJ.bam				released	s3://encode-public/2018/04/29/9708f41d-b9b6-4eaf-9f0b-408f85425a3a/ENCFF673LOJ.bam	https://datasetencode.blob.core.windows.net/dataset/2018/04/29/9708f41d-b9b6-4eaf-9f0b-408f85425a3a/ENCFF673LOJ.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom GRCh38	released			
ENCFF144JVB	bam	bam		alignments	hg19	ENCSR693JWP	eCLIP	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										EXOSC5-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	2	2_1		38					/files/ENCFF578XQC/, /files/ENCFF383ASP/, /files/ENCFF735QHY/, /files/ENCFF261AZU/, /files/ENCFF603RJN/, /files/ENCFF622OZH/, /files/ENCFF165IYB/, /files/ENCFF050JGG/	120213669	Gene Yeo, UCSD	812f551995f8198faefbaaad47ed5655		https://www.encodeproject.org/files/ENCFF144JVB/@@download/ENCFF144JVB.bam				released	s3://encode-public/2018/04/29/6cf7d522-8adf-4239-b1a8-f9edaae1fc2c/ENCFF144JVB.bam	https://datasetencode.blob.core.windows.net/dataset/2018/04/29/6cf7d522-8adf-4239-b1a8-f9edaae1fc2c/ENCFF144JVB.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom hg19	archived	mixed read lengths		
ENCFF535JNJ	bam	bam		alignments	hg19	ENCSR693JWP	eCLIP	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										EXOSC5-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1	1_1		43					/files/ENCFF173ODI/, /files/ENCFF507EGU/	122349208	Gene Yeo, UCSD	02965feea7350e8caf03db4445f19a65		https://www.encodeproject.org/files/ENCFF535JNJ/@@download/ENCFF535JNJ.bam				released	s3://encode-public/2018/04/29/014284b5-ef06-4f2f-a858-c198ab78e361/ENCFF535JNJ.bam	https://datasetencode.blob.core.windows.net/dataset/2018/04/29/014284b5-ef06-4f2f-a858-c198ab78e361/ENCFF535JNJ.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom hg19	archived	mixed read lengths		
ENCFF216VBT	bam	bam		alignments	GRCh38	ENCSR693JWP	eCLIP	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										EXOSC5-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1	1_1		43					/files/ENCFF173ODI/, /files/ENCFF507EGU/	116664099	Gene Yeo, UCSD	110dee30062ed60c5fe8b98945a06951		https://www.encodeproject.org/files/ENCFF216VBT/@@download/ENCFF216VBT.bam				released	s3://encode-public/2018/04/29/7d683561-f80d-48de-ab94-2cd9493a291a/ENCFF216VBT.bam	https://datasetencode.blob.core.windows.net/dataset/2018/04/29/7d683561-f80d-48de-ab94-2cd9493a291a/ENCFF216VBT.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom GRCh38	released	mixed read lengths		
ENCFF405ERW	bam	bam		alignments	GRCh38	ENCSR693JWP	eCLIP	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										EXOSC5-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	2	2_1		38					/files/ENCFF578XQC/, /files/ENCFF383ASP/, /files/ENCFF735QHY/, /files/ENCFF261AZU/, /files/ENCFF603RJN/, /files/ENCFF622OZH/, /files/ENCFF165IYB/, /files/ENCFF050JGG/	115175424	Gene Yeo, UCSD	9cb92ce97842be52796cb7e2f25bc9c4		https://www.encodeproject.org/files/ENCFF405ERW/@@download/ENCFF405ERW.bam				released	s3://encode-public/2018/04/29/e28e9531-5029-49b2-8852-5243264577f9/ENCFF405ERW.bam	https://datasetencode.blob.core.windows.net/dataset/2018/04/29/e28e9531-5029-49b2-8852-5243264577f9/ENCFF405ERW.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom GRCh38	released	mixed read lengths		
ENCFF262TRZ	bam	bam		alignments	hg19	ENCSR906ZJF	eCLIP	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										SDAD1-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	2	2_1		38					/files/ENCFF646DAJ/, /files/ENCFF856AGT/	64296890	Gene Yeo, UCSD	7d1eb9eca5dd6df8d0336a02ba5da31a		https://www.encodeproject.org/files/ENCFF262TRZ/@@download/ENCFF262TRZ.bam				released	s3://encode-public/2018/04/29/edc0f237-56f4-4214-94e1-21b1a454848a/ENCFF262TRZ.bam	https://datasetencode.blob.core.windows.net/dataset/2018/04/29/edc0f237-56f4-4214-94e1-21b1a454848a/ENCFF262TRZ.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom hg19	archived	mixed read lengths		
ENCFF998XEU	bam	bam		alignments	hg19	ENCSR906ZJF	eCLIP	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										SDAD1-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1	1_1		35					/files/ENCFF012LSN/, /files/ENCFF019OYM/	35063393	Gene Yeo, UCSD	098b4f7a24fae03caba39a1a9dcd7823		https://www.encodeproject.org/files/ENCFF998XEU/@@download/ENCFF998XEU.bam				released	s3://encode-public/2018/04/29/ea799f6b-5fc5-44b0-807c-fd191643e515/ENCFF998XEU.bam	https://datasetencode.blob.core.windows.net/dataset/2018/04/29/ea799f6b-5fc5-44b0-807c-fd191643e515/ENCFF998XEU.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom hg19	archived	mixed read lengths		
ENCFF113QBT	bam	bam		alignments	GRCh38	ENCSR906ZJF	eCLIP	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										SDAD1-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1	1_1		35					/files/ENCFF012LSN/, /files/ENCFF019OYM/	33577396	Gene Yeo, UCSD	e9aa211810141c602d55262fd419c32c		https://www.encodeproject.org/files/ENCFF113QBT/@@download/ENCFF113QBT.bam				released	s3://encode-public/2018/04/29/2a2d4574-e969-4416-b7cb-094f5af1d2b8/ENCFF113QBT.bam	https://datasetencode.blob.core.windows.net/dataset/2018/04/29/2a2d4574-e969-4416-b7cb-094f5af1d2b8/ENCFF113QBT.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom GRCh38	released	mixed read lengths		
ENCFF946AMH	bam	bam		alignments	GRCh38	ENCSR906ZJF	eCLIP	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										SDAD1-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	2	2_1		38					/files/ENCFF646DAJ/, /files/ENCFF856AGT/	62239477	Gene Yeo, UCSD	c4d1b6ccf6627806c96e07bacee9b173		https://www.encodeproject.org/files/ENCFF946AMH/@@download/ENCFF946AMH.bam				released	s3://encode-public/2018/04/29/d214e778-c613-4c31-9a59-483ba10e0e64/ENCFF946AMH.bam	https://datasetencode.blob.core.windows.net/dataset/2018/04/29/d214e778-c613-4c31-9a59-483ba10e0e64/ENCFF946AMH.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom GRCh38	released	mixed read lengths		
ENCFF251ZRM	bam	bam		alignments	hg19	ENCSR361OCV	eCLIP	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										NIP7-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1	1_1		40					/files/ENCFF125GZY/, /files/ENCFF134AMO/	48030381	Gene Yeo, UCSD	f00f0b170e5ab61d63d880dd50df3416		https://www.encodeproject.org/files/ENCFF251ZRM/@@download/ENCFF251ZRM.bam				released	s3://encode-public/2018/04/29/af3d16d6-e622-4d48-baa3-723100ac5129/ENCFF251ZRM.bam	https://datasetencode.blob.core.windows.net/dataset/2018/04/29/af3d16d6-e622-4d48-baa3-723100ac5129/ENCFF251ZRM.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom hg19	archived			
ENCFF048BEP	bam	bam		alignments	hg19	ENCSR361OCV	eCLIP	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										NIP7-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	2	2_1		40					/files/ENCFF260EIZ/, /files/ENCFF427MET/	54277348	Gene Yeo, UCSD	cc4f56f11d7a2fae2682e0ae5d700ad4		https://www.encodeproject.org/files/ENCFF048BEP/@@download/ENCFF048BEP.bam				released	s3://encode-public/2018/04/29/135cfd8b-a72d-4aab-9dfd-d73ba1b32163/ENCFF048BEP.bam	https://datasetencode.blob.core.windows.net/dataset/2018/04/29/135cfd8b-a72d-4aab-9dfd-d73ba1b32163/ENCFF048BEP.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom hg19	archived			
ENCFF216MCK	bam	bam		alignments	GRCh38	ENCSR361OCV	eCLIP	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										NIP7-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1	1_1		40					/files/ENCFF125GZY/, /files/ENCFF134AMO/	45909116	Gene Yeo, UCSD	2b0358bae17531c1f809b87960d8e399		https://www.encodeproject.org/files/ENCFF216MCK/@@download/ENCFF216MCK.bam				released	s3://encode-public/2018/04/29/0c04b008-112b-4072-addc-aa68e607e223/ENCFF216MCK.bam	https://datasetencode.blob.core.windows.net/dataset/2018/04/29/0c04b008-112b-4072-addc-aa68e607e223/ENCFF216MCK.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom GRCh38	released			
ENCFF169ABN	bam	bam		alignments	GRCh38	ENCSR361OCV	eCLIP	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										NIP7-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	2	2_1		40					/files/ENCFF260EIZ/, /files/ENCFF427MET/	51617166	Gene Yeo, UCSD	e03f2c38faedd90502599f7f7cda37f0		https://www.encodeproject.org/files/ENCFF169ABN/@@download/ENCFF169ABN.bam				released	s3://encode-public/2018/04/29/5978f663-ea41-48e2-b410-6ba7f064a3cc/ENCFF169ABN.bam	https://datasetencode.blob.core.windows.net/dataset/2018/04/29/5978f663-ea41-48e2-b410-6ba7f064a3cc/ENCFF169ABN.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom GRCh38	released			
