run_id	run_name	state	sweep_name	sweep_id	model.name	dataset.name	model.n_jobs	training.seed	model.max_depth	model.reg_alpha	model.subsample	dataset.cell_line	model.eval_metric	model.n_estimators	training.criterion	model.learning_rate	training.batch_size	training.wandb.track	dataset.target_fields	training.wandb.entity	dataset.min_read_count	training.profile.plots	training.wandb.project	model.enable_categorical	training.profile.metrics	training.wandb.save_code	dataset.three_exon_combos	training.wandb.save_model	training.wandb.save_plots	training.data_split.method	model.early_stopping_rounds	training.data_split.test_set	training.data_split.train_set	training.wandb.save_artifacts	training.data_split.validate_set	dataset.features.binding_matrix.window	dataset.features.binding_matrix.exp_log	dataset.features.binding_matrix.flatten	dataset.features.binding_matrix.exp_norm	dataset.features.binding_matrix.binding_format	runtime.avg_nodes_per_tree	test_loss	test_mean_absolute_error	test_r2_score	test_rmse	train_loss	train_mean_absolute_error	train_r2_score	train_rmse	val_loss	val_mean_absolute_error	val_r2_score	val_rmse
83giv3az	cerulean-sweep-10	finished	ayans_model_params_yogi_dataset_sweep	11gitmno	XGBRegressor	RBPSEDataset	-1	42	7	0.3	1	K562	['rmse', 'logloss']	20000	mean_squared_error	0.1	1024	True	['target_psi']	platiglab	80	[]	yogi-dataset-sweep-feb-2025	False	['r2_score', 'mean_absolute_error', 'rmse']	False	all	False	False	set_defs	100	['chr2', 'chr8', 'chr12', 'chr16', 'chr20']	['chr1', 'chr3', 'chr5', 'chr7', 'chr9', 'chr11', 'chr13', 'chr15', 'chr17', 'chr19', 'chr21']	False	['chr4', 'chr6', 'chr10', 'chr14', 'chr18', 'chr22']	100	True	False	getmm	binary	78.7258064516129	7.484e-05	0.2035	0.1854	0.302	2.67e-05	0.183	0.226	0.2778	9.149e-05	0.1944	0.1769	0.2904
dxmp71u6	dutiful-sweep-15	finished	ayans_model_params_yogi_dataset_sweep	11gitmno	XGBRegressor	RBPSEDataset	-1	42	7	0.3	1	K562	['rmse', 'logloss']	20000	mean_squared_error	0.1	1024	True	['target_psi']	platiglab	40	[]	yogi-dataset-sweep-feb-2025	False	['r2_score', 'mean_absolute_error', 'rmse']	False	all	False	False	set_defs	100	['chr2', 'chr8', 'chr12', 'chr16', 'chr20']	['chr1', 'chr3', 'chr5', 'chr7', 'chr9', 'chr11', 'chr13', 'chr15', 'chr17', 'chr19', 'chr21']	False	['chr4', 'chr6', 'chr10', 'chr14', 'chr18', 'chr22']	250	True	False	getmm	binary	82.48387096774194	6.373e-05	0.225	0.171	0.3164	2.336e-05	0.2041	0.2053	0.2931	7.896e-05	0.2153	0.1651	0.3043
jpn30uhc	cerulean-sweep-13	finished	ayans_model_params_yogi_dataset_sweep	11gitmno	XGBRegressor	RBPSEDataset	-1	42	7	0.3	1	K562	['rmse', 'logloss']	20000	mean_squared_error	0.1	1024	True	['target_psi']	platiglab	0	[]	yogi-dataset-sweep-feb-2025	False	['r2_score', 'mean_absolute_error', 'rmse']	False	all	False	False	set_defs	100	['chr2', 'chr8', 'chr12', 'chr16', 'chr20']	['chr1', 'chr3', 'chr5', 'chr7', 'chr9', 'chr11', 'chr13', 'chr15', 'chr17', 'chr19', 'chr21']	False	['chr4', 'chr6', 'chr10', 'chr14', 'chr18', 'chr22']	250	True	False	getmm	binary	85.10317460317461	5.355e-05	0.2622	0.1606	0.3367	2.053e-05	0.2428	0.1888	0.317	6.738e-05	0.2545	0.152	0.3275
lumjjj9d	usual-sweep-12	finished	ayans_model_params_yogi_dataset_sweep	11gitmno	XGBRegressor	RBPSEDataset	-1	42	7	0.3	1	K562	['rmse', 'logloss']	20000	mean_squared_error	0.1	1024	True	['target_psi']	platiglab	320	[]	yogi-dataset-sweep-feb-2025	False	['r2_score', 'mean_absolute_error', 'rmse']	False	all	False	False	set_defs	100	['chr2', 'chr8', 'chr12', 'chr16', 'chr20']	['chr1', 'chr3', 'chr5', 'chr7', 'chr9', 'chr11', 'chr13', 'chr15', 'chr17', 'chr19', 'chr21']	False	['chr4', 'chr6', 'chr10', 'chr14', 'chr18', 'chr22']	100	True	False	getmm	binary	72.25409836065573	0.0001673	0.1671	0.2022	0.2795	4.917e-05	0.1374	0.3093	0.2383	0.0001815	0.1544	0.1946	0.262
naqhuboc	usual-sweep-8	finished	ayans_model_params_yogi_dataset_sweep	11gitmno	XGBRegressor	RBPSEDataset	-1	42	7	0.3	1	K562	['rmse', 'logloss']	20000	mean_squared_error	0.1	1024	True	['target_psi']	platiglab	20	[]	yogi-dataset-sweep-feb-2025	False	['r2_score', 'mean_absolute_error', 'rmse']	False	all	False	False	set_defs	100	['chr2', 'chr8', 'chr12', 'chr16', 'chr20']	['chr1', 'chr3', 'chr5', 'chr7', 'chr9', 'chr11', 'chr13', 'chr15', 'chr17', 'chr19', 'chr21']	False	['chr4', 'chr6', 'chr10', 'chr14', 'chr18', 'chr22']	100	True	False	getmm	binary	78.0979020979021	5.731e-05	0.232	0.1969	0.3178	2.091e-05	0.2092	0.2459	0.293	7.153e-05	0.2223	0.1887	0.3065
ql7j4fs9	brisk-sweep-16	finished	ayans_model_params_yogi_dataset_sweep	11gitmno	XGBRegressor	RBPSEDataset	-1	42	7	0.3	1	K562	['rmse', 'logloss']	20000	mean_squared_error	0.1	1024	True	['target_psi']	platiglab	80	[]	yogi-dataset-sweep-feb-2025	False	['r2_score', 'mean_absolute_error', 'rmse']	False	all	False	False	set_defs	100	['chr2', 'chr8', 'chr12', 'chr16', 'chr20']	['chr1', 'chr3', 'chr5', 'chr7', 'chr9', 'chr11', 'chr13', 'chr15', 'chr17', 'chr19', 'chr21']	False	['chr4', 'chr6', 'chr10', 'chr14', 'chr18', 'chr22']	250	True	False	getmm	binary	77.66442953020135	7.174e-05	0.1985	0.2133	0.2974	2.411e-05	0.1725	0.2917	0.2654	8.705e-05	0.1888	0.208	0.2851
s4xs9wqh	royal-sweep-14	finished	ayans_model_params_yogi_dataset_sweep	11gitmno	XGBRegressor	RBPSEDataset	-1	42	7	0.3	1	K562	['rmse', 'logloss']	20000	mean_squared_error	0.1	1024	True	['target_psi']	platiglab	20	[]	yogi-dataset-sweep-feb-2025	False	['r2_score', 'mean_absolute_error', 'rmse']	False	all	False	False	set_defs	100	['chr2', 'chr8', 'chr12', 'chr16', 'chr20']	['chr1', 'chr3', 'chr5', 'chr7', 'chr9', 'chr11', 'chr13', 'chr15', 'chr17', 'chr19', 'chr21']	False	['chr4', 'chr6', 'chr10', 'chr14', 'chr18', 'chr22']	250	True	False	getmm	binary	81.17021276595744	5.715e-05	0.2341	0.1888	0.32	2.075e-05	0.2107	0.2387	0.2943	7.06e-05	0.2238	0.1853	0.3077
1478nb5z	glowing-sweep-20	finished	ayans_model_params_yogi_dataset_sweep	11gitmno	XGBRegressor	RBPSEDataset	-1	42	7	0.3	1	K562	['rmse', 'logloss']	20000	mean_squared_error	0.1	1024	True	['target_psi']	platiglab	20	[]	yogi-dataset-sweep-feb-2025	False	['r2_score', 'mean_absolute_error', 'rmse']	False	all	False	False	set_defs	100	['chr2', 'chr8', 'chr12', 'chr16', 'chr20']	['chr1', 'chr3', 'chr5', 'chr7', 'chr9', 'chr11', 'chr13', 'chr15', 'chr17', 'chr19', 'chr21']	False	['chr4', 'chr6', 'chr10', 'chr14', 'chr18', 'chr22']	500	True	False	getmm	binary	83.64492753623189	5.701e-05	0.2357	0.1843	0.3217	2.076e-05	0.2126	0.2319	0.2961	6.979e-05	0.2252	0.1788	0.3083
573x3qa7	honest-sweep-18	finished	ayans_model_params_yogi_dataset_sweep	11gitmno	XGBRegressor	RBPSEDataset	-1	42	7	0.3	1	K562	['rmse', 'logloss']	20000	mean_squared_error	0.1	1024	True	['target_psi']	platiglab	320	[]	yogi-dataset-sweep-feb-2025	False	['r2_score', 'mean_absolute_error', 'rmse']	False	all	False	False	set_defs	100	['chr2', 'chr8', 'chr12', 'chr16', 'chr20']	['chr1', 'chr3', 'chr5', 'chr7', 'chr9', 'chr11', 'chr13', 'chr15', 'chr17', 'chr19', 'chr21']	False	['chr4', 'chr6', 'chr10', 'chr14', 'chr18', 'chr22']	250	True	False	getmm	binary	73.6694214876033	0.0001683	0.1678	0.2002	0.281	4.954e-05	0.1383	0.3008	0.2396	0.0001796	0.1541	0.1973	0.2613
5hrnulcr	scarlet-sweep-27	finished	ayans_model_params_yogi_dataset_sweep	11gitmno	XGBRegressor	RBPSEDataset	-1	42	7	0.3	1	K562	['rmse', 'logloss']	20000	mean_squared_error	0.1	1024	True	['target_psi']	platiglab	40	[]	yogi-dataset-sweep-feb-2025	False	['r2_score', 'mean_absolute_error', 'rmse']	False	all	False	False	set_defs	100	['chr2', 'chr8', 'chr12', 'chr16', 'chr20']	['chr1', 'chr3', 'chr5', 'chr7', 'chr9', 'chr11', 'chr13', 'chr15', 'chr17', 'chr19', 'chr21']	False	['chr4', 'chr6', 'chr10', 'chr14', 'chr18', 'chr22']	1000	True	False	getmm	binary	80.59740259740259	6.038e-05	0.2194	0.2011	0.3112	2.103e-05	0.1934	0.2724	0.2807	7.377e-05	0.2092	0.1953	0.2982
cpq0oznr	genial-sweep-22	finished	ayans_model_params_yogi_dataset_sweep	11gitmno	XGBRegressor	RBPSEDataset	-1	42	7	0.3	1	K562	['rmse', 'logloss']	20000	mean_squared_error	0.1	1024	True	['target_psi']	platiglab	80	[]	yogi-dataset-sweep-feb-2025	False	['r2_score', 'mean_absolute_error', 'rmse']	False	all	False	False	set_defs	100	['chr2', 'chr8', 'chr12', 'chr16', 'chr20']	['chr1', 'chr3', 'chr5', 'chr7', 'chr9', 'chr11', 'chr13', 'chr15', 'chr17', 'chr19', 'chr21']	False	['chr4', 'chr6', 'chr10', 'chr14', 'chr18', 'chr22']	500	True	False	getmm	binary	79.01408450704226	7.206e-05	0.2002	0.205	0.2992	2.453e-05	0.1752	0.2751	0.2686	8.668e-05	0.1899	0.2024	0.2857
e310u581	prime-sweep-21	finished	ayans_model_params_yogi_dataset_sweep	11gitmno	XGBRegressor	RBPSEDataset	-1	42	7	0.3	1	K562	['rmse', 'logloss']	20000	mean_squared_error	0.1	1024	True	['target_psi']	platiglab	40	[]	yogi-dataset-sweep-feb-2025	False	['r2_score', 'mean_absolute_error', 'rmse']	False	all	False	False	set_defs	100	['chr2', 'chr8', 'chr12', 'chr16', 'chr20']	['chr1', 'chr3', 'chr5', 'chr7', 'chr9', 'chr11', 'chr13', 'chr15', 'chr17', 'chr19', 'chr21']	False	['chr4', 'chr6', 'chr10', 'chr14', 'chr18', 'chr22']	500	True	False	getmm	binary	82.19354838709677	6.333e-05	0.2259	0.1713	0.3171	2.328e-05	0.205	0.2022	0.294	7.789e-05	0.2157	0.1626	0.3042
jm98urn5	logical-sweep-25	finished	ayans_model_params_yogi_dataset_sweep	11gitmno	XGBRegressor	RBPSEDataset	-1	42	7	0.3	1	K562	['rmse', 'logloss']	20000	mean_squared_error	0.1	1024	True	['target_psi']	platiglab	0	[]	yogi-dataset-sweep-feb-2025	False	['r2_score', 'mean_absolute_error', 'rmse']	False	all	False	False	set_defs	100	['chr2', 'chr8', 'chr12', 'chr16', 'chr20']	['chr1', 'chr3', 'chr5', 'chr7', 'chr9', 'chr11', 'chr13', 'chr15', 'chr17', 'chr19', 'chr21']	False	['chr4', 'chr6', 'chr10', 'chr14', 'chr18', 'chr22']	1000	True	False	getmm	binary	82.76978417266187	5.154e-05	0.2612	0.1677	0.3359	1.954e-05	0.2403	0.2092	0.3142	6.405e-05	0.2536	0.1596	0.3263
jr8yr4an	rosy-sweep-24	finished	ayans_model_params_yogi_dataset_sweep	11gitmno	XGBRegressor	RBPSEDataset	-1	42	7	0.3	1	K562	['rmse', 'logloss']	20000	mean_squared_error	0.1	1024	True	['target_psi']	platiglab	320	[]	yogi-dataset-sweep-feb-2025	False	['r2_score', 'mean_absolute_error', 'rmse']	False	all	False	False	set_defs	100	['chr2', 'chr8', 'chr12', 'chr16', 'chr20']	['chr1', 'chr3', 'chr5', 'chr7', 'chr9', 'chr11', 'chr13', 'chr15', 'chr17', 'chr19', 'chr21']	False	['chr4', 'chr6', 'chr10', 'chr14', 'chr18', 'chr22']	500	True	False	getmm	binary	71.78151260504201	0.0001704	0.1688	0.1897	0.283	5.015e-05	0.1397	0.2915	0.2413	0.0001826	0.1559	0.1835	0.2637
ryh3q8a4	scarlet-sweep-19	finished	ayans_model_params_yogi_dataset_sweep	11gitmno	XGBRegressor	RBPSEDataset	-1	42	7	0.3	1	K562	['rmse', 'logloss']	20000	mean_squared_error	0.1	1024	True	['target_psi']	platiglab	0	[]	yogi-dataset-sweep-feb-2025	False	['r2_score', 'mean_absolute_error', 'rmse']	False	all	False	False	set_defs	100	['chr2', 'chr8', 'chr12', 'chr16', 'chr20']	['chr1', 'chr3', 'chr5', 'chr7', 'chr9', 'chr11', 'chr13', 'chr15', 'chr17', 'chr19', 'chr21']	False	['chr4', 'chr6', 'chr10', 'chr14', 'chr18', 'chr22']	500	True	False	getmm	binary	85.84251968503936	5.303e-05	0.2637	0.1591	0.3377	2.03e-05	0.244	0.1892	0.3177	6.601e-05	0.2553	0.1505	0.3273
sqij9y2k	brisk-sweep-23	finished	ayans_model_params_yogi_dataset_sweep	11gitmno	XGBRegressor	RBPSEDataset	-1	42	7	0.3	1	K562	['rmse', 'logloss']	20000	mean_squared_error	0.1	1024	True	['target_psi']	platiglab	160	[]	yogi-dataset-sweep-feb-2025	False	['r2_score', 'mean_absolute_error', 'rmse']	False	all	False	False	set_defs	100	['chr2', 'chr8', 'chr12', 'chr16', 'chr20']	['chr1', 'chr3', 'chr5', 'chr7', 'chr9', 'chr11', 'chr13', 'chr15', 'chr17', 'chr19', 'chr21']	False	['chr4', 'chr6', 'chr10', 'chr14', 'chr18', 'chr22']	500	True	False	getmm	binary	74.62589928057554	9.86e-05	0.1798	0.2191	0.2862	3.098e-05	0.1517	0.3082	0.2492	0.0001127	0.1685	0.2175	0.2705
vdk2zdno	astral-sweep-26	finished	ayans_model_params_yogi_dataset_sweep	11gitmno	XGBRegressor	RBPSEDataset	-1	42	7	0.3	1	K562	['rmse', 'logloss']	20000	mean_squared_error	0.1	1024	True	['target_psi']	platiglab	20	[]	yogi-dataset-sweep-feb-2025	False	['r2_score', 'mean_absolute_error', 'rmse']	False	all	False	False	set_defs	100	['chr2', 'chr8', 'chr12', 'chr16', 'chr20']	['chr1', 'chr3', 'chr5', 'chr7', 'chr9', 'chr11', 'chr13', 'chr15', 'chr17', 'chr19', 'chr21']	False	['chr4', 'chr6', 'chr10', 'chr14', 'chr18', 'chr22']	1000	True	False	getmm	binary	80.73972602739725	5.593e-05	0.2349	0.1882	0.3207	2.018e-05	0.2105	0.2449	0.2936	6.862e-05	0.2255	0.1792	0.3085
5q89w537	wandering-sweep-34	finished	ayans_model_params_yogi_dataset_sweep	11gitmno	XGBRegressor	RBPSEDataset	-1	42	7	0.3	1	K562	['rmse', 'logloss']	20000	mean_squared_error	0.1	1024	True	['target_psi']	platiglab	80	[]	yogi-dataset-sweep-feb-2025	False	['r2_score', 'mean_absolute_error', 'rmse']	False	all	False	False	set_defs	100	['chr2', 'chr8', 'chr12', 'chr16', 'chr20']	['chr1', 'chr3', 'chr5', 'chr7', 'chr9', 'chr11', 'chr13', 'chr15', 'chr17', 'chr19', 'chr21']	False	['chr4', 'chr6', 'chr10', 'chr14', 'chr18', 'chr22']	50	True	False	getmm	rbp_exp	77.9407894736842	7.256e-05	0.1968	0.2201	0.2954	2.441e-05	0.1712	0.2999	0.2639	8.844e-05	0.1866	0.2194	0.2829
cj7id7w2	sweet-sweep-31	finished	ayans_model_params_yogi_dataset_sweep	11gitmno	XGBRegressor	RBPSEDataset	-1	42	7	0.3	1	K562	['rmse', 'logloss']	20000	mean_squared_error	0.1	1024	True	['target_psi']	platiglab	0	[]	yogi-dataset-sweep-feb-2025	False	['r2_score', 'mean_absolute_error', 'rmse']	False	all	False	False	set_defs	100	['chr2', 'chr8', 'chr12', 'chr16', 'chr20']	['chr1', 'chr3', 'chr5', 'chr7', 'chr9', 'chr11', 'chr13', 'chr15', 'chr17', 'chr19', 'chr21']	False	['chr4', 'chr6', 'chr10', 'chr14', 'chr18', 'chr22']	50	True	False	getmm	rbp_exp	89.02758620689656	5.389e-05	0.2544	0.184	0.3309	2.033e-05	0.233	0.2247	0.3087	6.842e-05	0.2453	0.1777	0.3209
i03sesrr	decent-sweep-29	finished	ayans_model_params_yogi_dataset_sweep	11gitmno	XGBRegressor	RBPSEDataset	-1	42	7	0.3	1	K562	['rmse', 'logloss']	20000	mean_squared_error	0.1	1024	True	['target_psi']	platiglab	160	[]	yogi-dataset-sweep-feb-2025	False	['r2_score', 'mean_absolute_error', 'rmse']	False	all	False	False	set_defs	100	['chr2', 'chr8', 'chr12', 'chr16', 'chr20']	['chr1', 'chr3', 'chr5', 'chr7', 'chr9', 'chr11', 'chr13', 'chr15', 'chr17', 'chr19', 'chr21']	False	['chr4', 'chr6', 'chr10', 'chr14', 'chr18', 'chr22']	1000	True	False	getmm	binary	78.16	0.0001018	0.1839	0.1911	0.2914	3.299e-05	0.1584	0.2601	0.2578	0.0001173	0.1733	0.1804	0.2767
jt1m4fu7	electric-sweep-32	finished	ayans_model_params_yogi_dataset_sweep	11gitmno	XGBRegressor	RBPSEDataset	-1	42	7	0.3	1	K562	['rmse', 'logloss']	20000	mean_squared_error	0.1	1024	True	['target_psi']	platiglab	20	[]	yogi-dataset-sweep-feb-2025	False	['r2_score', 'mean_absolute_error', 'rmse']	False	all	False	False	set_defs	100	['chr2', 'chr8', 'chr12', 'chr16', 'chr20']	['chr1', 'chr3', 'chr5', 'chr7', 'chr9', 'chr11', 'chr13', 'chr15', 'chr17', 'chr19', 'chr21']	False	['chr4', 'chr6', 'chr10', 'chr14', 'chr18', 'chr22']	50	True	False	getmm	rbp_exp	82.67307692307692	5.765e-05	0.2298	0.2052	0.3161	2.066e-05	0.2049	0.2658	0.2885	7.233e-05	0.2192	0.1998	0.3043
kg30d4z9	vocal-sweep-30	finished	ayans_model_params_yogi_dataset_sweep	11gitmno	XGBRegressor	RBPSEDataset	-1	42	7	0.3	1	K562	['rmse', 'logloss']	20000	mean_squared_error	0.1	1024	True	['target_psi']	platiglab	320	[]	yogi-dataset-sweep-feb-2025	False	['r2_score', 'mean_absolute_error', 'rmse']	False	all	False	False	set_defs	100	['chr2', 'chr8', 'chr12', 'chr16', 'chr20']	['chr1', 'chr3', 'chr5', 'chr7', 'chr9', 'chr11', 'chr13', 'chr15', 'chr17', 'chr19', 'chr21']	False	['chr4', 'chr6', 'chr10', 'chr14', 'chr18', 'chr22']	1000	True	False	getmm	binary	70.07142857142857	0.0001661	0.1661	0.2092	0.2797	4.784e-05	0.1353	0.3228	0.236	0.0001773	0.153	0.2039	0.2603
